Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,达活泉,25,优,NaN,16,25,0.4,8,67,63,2
20200326,19,邢师高专,27,优,NaN,13,27,0.6,11,62,61,3
20200326,19,路桥公司,22,优,NaN,8,16,0.5,15,69,65,8
20200326,19,市环保局,20,优,NaN,11,20,0.6,13,57,54,3
20200326,20,达活泉,26,优,NaN,12,26,0.4,10,63,64,2
20200326,20,邢师高专,25,优,NaN,17,22,0.6,11,66,62,3
20200326,20,路桥公司,21,优,NaN,9,15,0.3,18,65,66,7
20200326,20,市环保局,23,优,NaN,16,16,0.6,14,58,56,3
20200327,10,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,邢师高专,NaN,,NaN,NaN,NaN,0.6,12,61,40,3
20200327,10,路桥公司,24,优,NaN,10,24,0.6,18,66,34,14
20200327,10,市环保局,29,优,NaN,13,29,0.6,13,54,32,4
20200327,11,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,邢师高专,27,优,NaN,11,27,0.6,9,67,42,1
20200327,11,路桥公司,24,优,NaN,8,14,0.6,12,76,38,12
20200327,11,市环保局,21,优,NaN,11,21,0.6,7,63,34,2
20200327,12,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,邢师高专,27,优,NaN,7,27,0.6,8,72,46,3
20200327,12,路桥公司,25,优,NaN,7,25,0.5,12,79,44,10
20200327,12,市环保局,21,优,NaN,8,16,0.6,6,67,38,1
20200327,13,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,邢师高专,31,优,NaN,5,31,0.6,8,77,51,3
20200327,13,路桥公司,26,优,NaN,6,25,0.6,13,82,52,11
20200327,13,市环保局,22,优,NaN,9,15,0.6,6,70,45,1
20200327,14,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,邢师高专,29,优,NaN,5,29,0.6,9,78,57,3
20200327,14,路桥公司,27,优,NaN,4,25,0.6,13,86,61,11
20200327,14,市环保局,22,优,NaN,7,18,0.6,8,69,53,1
20200327,15,达活泉,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,邢师高专,31,优,NaN,9,31,0.6,11,80,65,3
20200327,15,路桥公司,28,优,NaN,3,18,0.6,14,88,70,10
20200327,15,市环保局,24,优,NaN,10,24,0.6,8,72,59,2
20200327,17,达活泉,34,优,NaN,13,34,0.5,16,82,82,4
20200327,17,邢师高专,46,优,NaN,13,46,0.6,15,78,74,3
20200327,17,路桥公司,30,优,NaN,14,30,0.6,18,86,81,4
20200327,17,市环保局,32,优,NaN,19,32,0.6,12,68,67,1
20200330,11,达活泉,93,良,细颗粒物(PM2.5),69,108,1.4,36,41,15,32
20200330,11,邢师高专,NaN,,NaN,NaN,NaN,1.8,40,36,10,27
20200330,11,路桥公司,71,良,颗粒物(PM10),46,91,1.5,50,27,20,20
20200330,11,市环保局,NaN,,NaN,NaN,NaN,1.6,40,31,8,29
20200330,11,达活泉,93,良,细颗粒物(PM2.5),69,108,1.4,36,41,15,32
20200330,11,邢师高专,NaN,,NaN,NaN,NaN,1.8,40,36,10,27
20200330,11,路桥公司,71,良,颗粒物(PM10),46,91,1.5,50,27,20,20
20200330,11,市环保局,NaN,,NaN,NaN,NaN,1.6,40,31,8,29
