Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,昌都监测站,37,优,NaN,16,37,0.5,3,86,85,9
20200326,18,昌都地区昌都坝,35,优,NaN,9,35,0.5,8,93,89,7
20200326,20,昌都监测站,25,优,NaN,5,19,0.7,12,77,87,10
20200326,20,昌都地区昌都坝,27,优,NaN,15,26,0.7,13,86,93,7
20200326,21,昌都监测站,39,优,NaN,16,39,1.0,18,68,84,12
20200326,21,昌都地区昌都坝,38,优,NaN,24,38,0.9,23,74,91,7
20200327,10,昌都监测站,54,良,颗粒物(PM10),17,57,0.9,15,46,47,15
20200327,10,昌都地区昌都坝,69,良,颗粒物(PM10),29,88,1.0,26,45,44,8
20200327,11,昌都监测站,36,优,NaN,18,36,0.9,9,56,48,17
20200327,11,昌都地区昌都坝,36,优,NaN,13,36,0.7,18,NaN,44,8
20200327,12,昌都监测站,36,优,NaN,18,36,0.6,4,72,51,14
20200327,12,昌都地区昌都坝,NaN,,NaN,NaN,NaN,0.4,NaN,72,48,60
20200327,13,昌都监测站,32,优,NaN,6,32,0.5,2,82,55,13
20200327,13,昌都地区昌都坝,43,优,NaN,11,43,0.4,NaN,81,53,7
20200327,13,昌都监测站,32,优,NaN,6,32,0.5,2,82,55,13
20200327,13,昌都地区昌都坝,43,优,NaN,11,43,0.4,NaN,81,53,7
20200327,14,昌都监测站,36,优,NaN,13,36,0.5,1,84,59,14
20200327,14,昌都地区昌都坝,38,优,NaN,13,38,NaN,11,78,59,6
20200327,15,昌都监测站,42,优,NaN,10,42,0.5,1,83,63,12
20200327,15,昌都地区昌都坝,52,良,颗粒物(PM10),11,53,0.6,8,75,63,7
20200327,15,昌都监测站,42,优,NaN,10,42,0.5,1,83,63,12
20200327,15,昌都地区昌都坝,52,良,颗粒物(PM10),11,53,0.6,8,75,63,7
20200327,16,昌都监测站,43,优,NaN,7,43,0.5,2,85,68,9
20200327,16,昌都地区昌都坝,32,优,NaN,9,32,0.5,6,79,67,6
20200327,17,昌都监测站,28,优,NaN,11,28,0.5,2,83,74,10
20200327,17,昌都地区昌都坝,25,优,NaN,7,24,0.5,7,80,73,6
20200327,17,昌都监测站,28,优,NaN,11,28,0.5,2,83,74,10
20200327,17,昌都地区昌都坝,25,优,NaN,7,24,0.5,7,80,73,6
20200330,07,昌都监测站,NaN,,NaN,NaN,17,0.5,2,70,72,12
20200330,07,昌都地区昌都坝,22,优,NaN,11,20,0.6,9,70,75,8
20200330,08,昌都监测站,28,优,NaN,NaN,4,0.6,1,89,74,9
20200330,08,昌都地区昌都坝,30,优,NaN,13,21,0.7,8,93,77,7
20200330,09,昌都监测站,25,优,NaN,NaN,8,0.7,9,78,76,12
20200330,09,昌都地区昌都坝,27,优,NaN,10,14,0.8,15,85,79,7
20200330,09,昌都监测站,25,优,NaN,NaN,8,0.7,9,78,76,12
20200330,09,昌都地区昌都坝,27,优,NaN,10,14,0.8,15,85,79,7
20200330,09,昌都监测站,25,优,NaN,NaN,8,0.7,9,78,76,12
20200330,09,昌都地区昌都坝,27,优,NaN,10,14,0.8,15,85,79,7
20200330,10,昌都监测站,24,优,NaN,NaN,21,0.6,6,75,75,12
20200330,10,昌都地区昌都坝,25,优,NaN,13,20,0.8,16,78,78,7
20200330,10,昌都监测站,24,优,NaN,NaN,21,0.6,6,75,75,12
20200330,10,昌都地区昌都坝,25,优,NaN,13,20,0.8,16,78,78,7
20200330,11,昌都监测站,25,优,NaN,7,16,0.6,4,77,74,11
20200330,11,昌都地区昌都坝,30,优,NaN,14,30,0.8,16,77,77,7
