Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,富乐山,35,优,NaN,21,35,0.7,21,45,43,7
20200402,08,市人大,39,优,NaN,24,39,0.7,38,12,30,8
20200402,08,高新区自来水公司,46,优,NaN,25,46,0.4,41,9,29,4
20200402,08,三水厂,45,优,NaN,30,45,0.7,34,11,24,5
20200402,09,富乐山,32,优,NaN,22,32,0.7,16,57,42,6
20200402,09,市人大,43,优,NaN,30,41,0.7,32,31,28,8
20200402,09,高新区自来水公司,48,优,NaN,23,48,0.5,46,13,26,5
20200402,09,三水厂,45,优,NaN,26,45,0.7,37,13,21,6
20200402,10,富乐山,32,优,NaN,22,30,0.7,14,68,42,6
20200402,10,市人大,72,良,细颗粒物(PM2.5),52,NaN,0.6,28,36,28,9
20200402,10,高新区自来水公司,52,良,颗粒物(PM10),24,53,0.4,33,36,24,5
20200402,10,三水厂,45,优,NaN,25,45,0.6,24,40,22,6
20200402,11,富乐山,34,优,NaN,23,34,0.7,11,80,46,8
20200402,11,市人大,60,良,细颗粒物(PM2.5),43,45,0.6,27,40,28,8
20200402,11,高新区自来水公司,51,良,颗粒物(PM10),26,51,0.3,21,54,26,6
20200402,11,三水厂,46,优,NaN,23,46,0.6,15,55,25,8
20200402,12,富乐山,36,优,NaN,23,36,0.7,10,89,52,8
20200402,12,市人大,53,良,细颗粒物(PM2.5),37,45,0.6,19,51,31,10
20200402,12,高新区自来水公司,50,优,NaN,26,50,0.3,18,60,29,5
20200402,12,三水厂,45,优,NaN,22,45,0.6,14,60,29,8
20200402,13,富乐山,38,优,NaN,23,38,0.6,8,93,60,6
20200402,13,市人大,48,优,NaN,33,46,0.6,15,55,34,7
20200402,13,高新区自来水公司,50,优,NaN,25,50,0.3,16,63,33,5
20200402,13,三水厂,43,优,NaN,23,43,0.6,10,63,34,7
20200402,14,富乐山,37,优,NaN,20,37,0.6,6,100,70,5
20200402,14,市人大,53,良,细颗粒物(PM2.5),37,45,0.5,16,57,38,6
20200402,14,高新区自来水公司,40,优,NaN,23,40,0.2,13,70,39,3
20200402,14,三水厂,41,优,NaN,22,41,0.5,7,69,40,5
20200402,15,富乐山,48,优,NaN,18,48,0.6,6,98,79,6
20200402,15,市人大,57,良,细颗粒物(PM2.5),40,NaN,0.5,14,56,42,6
20200402,15,高新区自来水公司,28,优,NaN,19,22,0.2,14,65,46,2
20200402,15,三水厂,36,优,NaN,16,36,0.5,8,66,47,5
20200402,16,富乐山,44,优,NaN,16,44,0.6,7,68,82,5
20200402,16,市人大,43,优,NaN,30,31,0.5,16,49,47,5
20200402,16,高新区自来水公司,22,优,NaN,15,18,0.2,15,60,53,3
20200402,16,三水厂,30,优,NaN,13,30,0.5,10,59,53,4
20200402,17,富乐山,30,优,NaN,13,30,0.6,6,73,84,5
20200402,17,市人大,30,优,NaN,21,26,0.5,16,51,49,5
20200402,17,高新区自来水公司,20,优,NaN,14,17,0.2,14,60,58,NaN
20200402,17,三水厂,22,优,NaN,12,22,0.5,9,61,59,5
20200402,18,富乐山,25,优,NaN,10,20,0.6,6,79,85,5
20200402,18,市人大,23,优,NaN,16,23,0.6,16,50,51,6
20200402,18,高新区自来水公司,NaN,,NaN,NaN,NaN,0.3,18,NaN,62,3
20200402,18,三水厂,19,优,NaN,12,14,0.5,9,60,62,5
20200402,19,富乐山,25,优,NaN,7,15,0.6,6,79,85,5
20200402,19,市人大,23,优,NaN,16,19,0.5,18,49,52,5
20200402,19,高新区自来水公司,50,优,NaN,35,NaN,0.3,19,51,61,3
20200402,19,三水厂,18,优,NaN,10,11,0.5,11,57,62,5
20200402,20,富乐山,25,优,NaN,7,18,0.6,6,80,84,5
20200402,20,市人大,22,优,NaN,15,18,0.6,15,50,52,5
20200402,20,高新区自来水公司,39,优,NaN,27,35,0.3,18,48,60,3
20200402,20,三水厂,17,优,NaN,8,13,0.5,12,52,61,5
20200402,20,富乐山,25,优,NaN,7,18,0.6,6,80,84,5
20200402,20,市人大,22,优,NaN,15,18,0.6,15,50,52,5
20200402,20,高新区自来水公司,39,优,NaN,27,35,0.3,18,48,60,3
20200402,20,三水厂,17,优,NaN,8,13,0.5,12,52,61,5
20200402,22,富乐山,25,优,NaN,7,9,0.6,5,80,79,5
20200402,22,市人大,22,优,NaN,15,17,0.5,17,46,50,5
20200402,22,高新区自来水公司,20,优,NaN,12,20,0.2,12,62,57,2
20200402,22,三水厂,20,优,NaN,7,12,0.4,7,61,59,4
