Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局江州分局,73,良,颗粒物(PM10),45,96,0.5,16,43,35,5
20200326,18,城南新区,55,良,颗粒物(PM10),27,59,0.4,20,45,41,3
20200326,20,市环保局江州分局,80,良,颗粒物(PM10),57,110,0.6,18,35,40,5
20200326,20,城南新区,49,优,NaN,29,49,0.4,12,56,48,2
20200326,21,市环保局江州分局,67,良,颗粒物(PM10),37,84,0.4,11,47,42,5
20200326,21,城南新区,51,良,颗粒物(PM10),30,51,0.4,23,36,47,3
20200327,10,市环保局江州分局,77,良,细颗粒物(PM2.5),56,78,0.5,20,11,2,5
20200327,10,城南新区,58,良,颗粒物(PM10),34,66,0.4,26,12,12,10
20200327,11,市环保局江州分局,54,良,颗粒物(PM10),37,58,0.4,11,36,7,5
20200327,11,城南新区,54,良,颗粒物(PM10),27,57,0.3,11,45,16,5
20200327,12,市环保局江州分局,48,优,NaN,33,35,0.4,8,52,13,5
20200327,12,城南新区,38,优,NaN,25,38,0.3,6,62,22,3
20200327,13,市环保局江州分局,51,良,颗粒物(PM10),35,51,0.4,8,56,20,5
20200327,13,城南新区,40,优,NaN,28,32,0.3,5,69,29,3
20200327,13,市环保局江州分局,51,良,颗粒物(PM10),35,51,0.4,8,56,20,5
20200327,13,城南新区,40,优,NaN,28,32,0.3,5,69,29,3
20200327,14,市环保局江州分局,52,良,细颗粒物(PM2.5),36,43,0.4,8,60,28,5
20200327,14,城南新区,40,优,NaN,28,35,0.3,6,72,36,3
20200327,15,市环保局江州分局,54,良,细颗粒物(PM2.5),38,39,0.4,8,62,35,5
20200327,15,城南新区,46,优,NaN,32,34,0.3,7,77,44,3
20200327,15,市环保局江州分局,54,良,细颗粒物(PM2.5),38,39,0.4,8,62,35,5
20200327,15,城南新区,46,优,NaN,32,34,0.3,7,77,44,3
20200327,16,市环保局江州分局,59,良,细颗粒物(PM2.5),42,53,0.4,9,64,43,6
20200327,16,城南新区,52,良,细颗粒物(PM2.5),36,43,0.4,8,79,53,3
20200327,17,市环保局江州分局,64,良,细颗粒物(PM2.5),46,54,0.5,9,68,51,6
20200327,17,城南新区,53,良,细颗粒物(PM2.5),37,37,0.4,7,81,62,3
20200330,07,市环保局江州分局,5,优,NaN,NaN,1,0.3,10,16,17,4
20200330,07,城南新区,6,优,NaN,3,6,0.3,9,19,20,2
20200330,08,市环保局江州分局,6,优,NaN,NaN,3,0.3,11,15,16,4
20200330,08,城南新区,6,优,NaN,3,NaN,0.3,10,19,20,2
20200330,09,市环保局江州分局,7,优,NaN,NaN,7,0.3,12,14,16,4
20200330,09,城南新区,6,优,NaN,3,3,0.3,12,16,20,2
20200330,09,市环保局江州分局,7,优,NaN,NaN,7,0.3,12,14,16,4
20200330,09,城南新区,6,优,NaN,3,3,0.3,12,16,20,2
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,10,市环保局江州分局,7,优,NaN,1,5,0.3,13,12,15,4
20200330,10,城南新区,11,优,NaN,4,11,0.3,13,16,19,3
20200330,11,市环保局江州分局,NaN,,NaN,NaN,NaN,0.3,13,NaN,15,4
20200330,11,城南新区,10,优,NaN,4,10,0.4,12,17,18,2
