_id,Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM25,PM10,CO,NO2,O3_1h,O3_8h,SO2,AQIrank,PM25rank,PM10rank,COrank,NO2rank,O3_1hrank,O3_8hrank,SO2rank
5e93e2da8369ab4b48ecdbf3,20200413,11,宜兴市环保局,84,良,细颗粒物(PM2.5),62,105,0.8,43,109,72,10,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.8831168831168831
5e93e19e8369ab4b48ecdaad,20200413,11,香溪洞,54,良,细颗粒物(PM2.5),38,48,0.4,25,64,62,10,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154
5e93e26c8369ab4b48ecdb84,20200413,11,市环保站,48,优,,21,48,0.6,19,82,71,10,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3246753246753247,0.3246753246753247
5e93e2cd8369ab4b48ecdbe6,20200413,11,鸳鸯湖,50,优,,23,50,0.5,7,101,83,10,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.33766233766233766,0.33766233766233766
5e93e23b8369ab4b48ecdb52,20200413,11,环保局,94,良,"颗粒物(PM10),细颗粒物(PM2.5)",70,138,0.7,20,102,55,10,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974,0.974025974025974
5e93e2f58369ab4b48ecdc10,20200413,11,富林印务,67,良,颗粒物(PM10),47,83,0.7,16,135,135,10,0.6915584415584416,0.6915584415584416,0.6915584415584416,0.6915584415584416,0.6915584415584416,0.6915584415584416,0.6915584415584416,0.6915584415584416
5e93e2ad8369ab4b48ecdbc4,20200413,11,东湖梨园,54,良,细颗粒物(PM2.5),38,49,0.5,37,76,58,10,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.44155844155844154
5e93e1c68369ab4b48ecdad6,20200413,11,人大宾馆,82,良,细颗粒物(PM2.5),60,93,0.8,21,148,109,10,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
5e93e28f8369ab4b48ecdba8,20200413,11,市委党校,74,良,颗粒物(PM10),43,98,1.2,33,,7,10,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793
5e93e2698369ab4b48ecdb81,20200413,11,区环保局,60,良,颗粒物(PM10),34,69,0.7,14,121,103,10,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.5681818181818182
5e93e2418369ab4b48ecdb59,20200413,11,溧阳市东门子站,87,良,细颗粒物(PM2.5),64,98,0.6,33,143,67,10,0.9253246753246753,0.9253246753246753,0.9253246753246753,0.9253246753246753,0.9253246753246753,0.9253246753246753,0.9253246753246753,0.9253246753246753
5e93e22a8369ab4b48ecdb40,20200413,11,昆山实验小学,83,良,细颗粒物(PM2.5),61,102,1.2,30,98,70,10,0.8668831168831169,0.8668831168831169,0.8668831168831169,0.8668831168831169,0.8668831168831169,0.8668831168831169,0.8668831168831169,0.8668831168831169
