Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,环保局　,70,良,细颗粒物(PM2.5),51,87,0.6,19,100,124,6
20200402,08,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,气象局　,86,良,颗粒物(PM10),41,122,0.5,13,103,120,10
20200402,09,环保局　,73,良,颗粒物(PM10),31,96,0.6,17,95,121,6
20200402,09,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,气象局　,77,良,细颗粒物(PM2.5),56,91,0.5,12,100,116,10
20200402,10,环保局　,62,良,颗粒物(PM10),33,73,0.6,16,100,116,6
20200402,10,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,气象局　,69,良,颗粒物(PM10),29,88,0.4,12,98,112,9
20200402,11,环保局　,52,良,颗粒物(PM10),23,53,0.5,13,101,111,5
20200402,11,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,气象局　,55,良,颗粒物(PM10),15,59,0.4,10,98,108,7
20200402,12,环保局　,38,优,NaN,15,38,0.5,12,104,107,5
20200402,12,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,气象局　,48,优,NaN,23,48,0.4,9,99,105,7
20200402,13,环保局　,42,优,NaN,14,42,0.5,10,103,103,5
20200402,13,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,气象局　,48,优,NaN,11,48,0.3,NaN,94,102,6
20200402,14,环保局　,38,优,NaN,10,38,0.4,9,103,101,5
20200402,14,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,气象局　,40,优,NaN,10,40,0.3,NaN,93,99,5
20200402,15,环保局　,52,良,颗粒物(PM10),18,54,0.4,10,114,102,6
20200402,15,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,气象局　,49,优,NaN,11,49,0.3,NaN,100,98,6
20200402,16,环保局　,65,良,颗粒物(PM10),31,80,0.4,12,122,105,6
20200402,16,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,气象局　,64,良,颗粒物(PM10),27,78,0.4,9,108,99,6
20200402,17,环保局　,64,良,颗粒物(PM10),30,78,0.4,13,119,108,5
20200402,17,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,气象局　,64,良,颗粒物(PM10),19,78,0.4,11,104,99,6
20200402,18,环保局　,60,良,颗粒物(PM10),13,69,0.4,13,110,110,6
20200402,18,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,气象局　,62,良,颗粒物(PM10),10,73,0.3,11,95,99,8
20200402,19,环保局　,48,优,NaN,9,48,0.4,10,106,110,5
20200402,19,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,气象局　,52,良,颗粒物(PM10),9,53,0.3,8,94,98,6
20200402,20,环保局　,33,优,NaN,8,30,0.4,8,105,110,5
20200402,20,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,气象局　,35,优,NaN,8,35,0.3,7,91,97,6
20200402,20,环保局　,33,优,NaN,8,30,0.4,8,105,110,5
20200402,20,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,气象局　,35,优,NaN,8,35,0.3,7,91,97,6
20200402,22,环保局　,29,优,NaN,11,16,0.4,11,90,108,5
20200402,22,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,气象局　,26,优,NaN,8,26,0.3,10,79,94,6
20200402,23,环保局　,27,优,NaN,11,16,0.4,10,84,104,4
20200402,23,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,气象局　,26,优,NaN,13,19,0.3,5,81,92,5
20200403,00,环保局　,25,优,NaN,13,15,0.4,10,80,99,4
20200403,00,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,气象局　,25,优,NaN,8,17,0.3,6,78,88,5
20200403,01,环保局　,26,优,NaN,11,21,0.4,8,81,81,4
20200403,01,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,气象局　,24,优,NaN,10,16,0.3,6,74,74,6
20200403,02,环保局　,25,优,NaN,8,18,0.4,8,78,80,5
20200403,02,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,气象局　,23,优,NaN,10,14,0.3,7,72,73,7
20200403,03,环保局　,23,优,NaN,12,13,0.4,9,72,77,6
20200403,03,自来水公司　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,白酒厂　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
