Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,荣成市环保局办公楼,29,优,NaN,12,21,0.7,20,91,96,4
20200326,18,山东成山轮胎公司,22,优,NaN,15,7,0.8,18,68,69,5
20200326,20,荣成市环保局办公楼,35,优,NaN,17,35,1.1,13,63,90,4
20200326,20,山东成山轮胎公司,26,优,NaN,18,8,1.0,17,49,66,5
20200326,21,荣成市环保局办公楼,36,优,NaN,20,36,1.1,11,64,86,4
20200326,21,山东成山轮胎公司,29,优,NaN,20,16,1.0,15,51,63,5
20200327,10,荣成市环保局办公楼,60,良,颗粒物(PM10),22,69,1.1,8,85,80,6
20200327,10,山东成山轮胎公司,46,优,NaN,13,46,0.9,13,60,58,7
20200327,11,荣成市环保局办公楼,59,良,颗粒物(PM10),25,68,1.0,6,94,80,5
20200327,11,山东成山轮胎公司,36,优,NaN,10,36,0.8,12,64,59,6
20200327,12,荣成市环保局办公楼,56,良,颗粒物(PM10),19,62,0.9,4,101,83,5
20200327,12,山东成山轮胎公司,39,优,NaN,8,39,0.8,12,74,61,NaN
20200327,13,荣成市环保局办公楼,50,优,NaN,8,50,0.9,5,103,86,5
20200327,13,山东成山轮胎公司,42,优,NaN,12,42,0.8,12,76,63,NaN
20200327,14,荣成市环保局办公楼,52,良,颗粒物(PM10),8,54,0.9,7,103,89,6
20200327,14,山东成山轮胎公司,47,优,NaN,8,47,0.8,14,72,65,7
20200327,15,荣成市环保局办公楼,56,良,颗粒物(PM10),10,61,0.8,7,109,94,6
20200327,15,山东成山轮胎公司,46,优,NaN,6,46,0.8,12,69,66,6
20200327,15,荣成市环保局办公楼,56,良,颗粒物(PM10),10,61,0.8,7,109,94,6
20200327,15,山东成山轮胎公司,46,优,NaN,6,46,0.8,12,69,66,6
20200330,10,荣成市环保局办公楼,50,优,NaN,22,50,1.2,24,78,83,7
20200330,10,山东成山轮胎公司,36,优,NaN,25,NaN,0.9,24,NaN,59,11
20200330,11,荣成市环保局办公楼,33,优,NaN,8,33,1.1,18,91,84,6
20200330,11,山东成山轮胎公司,41,优,NaN,21,41,0.9,22,NaN,58,9
