Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,八中,64,良,细颗粒物(PM2.5),46,70,0.6,21,128,133,9
20200326,18,师专,67,良,细颗粒物(PM2.5),48,60,0.4,20,137,135,7
20200326,20,八中,89,良,细颗粒物(PM2.5),66,93,0.9,33,99,139,11
20200326,20,师专,87,良,细颗粒物(PM2.5),64,82,0.5,24,131,144,13
20200326,21,八中,85,良,细颗粒物(PM2.5),63,86,0.8,26,96,132,8
20200326,21,师专,88,良,细颗粒物(PM2.5),65,82,0.6,16,131,143,10
20200327,09,八中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,09,师专,25,优,NaN,16,25,0.4,13,80,85,5
20200327,11,八中,23,优,NaN,12,20,0.6,18,71,82,6
20200327,11,师专,24,优,NaN,16,24,0.4,19,71,86,5
20200327,12,八中,28,优,NaN,9,14,0.5,11,88,83,NaN
20200327,12,师专,29,优,NaN,11,18,0.3,11,91,86,5
20200327,13,八中,27,优,NaN,13,21,NaN,9,86,83,5
20200327,13,师专,30,优,NaN,12,19,0.4,9,94,86,5
20200327,13,八中,27,优,NaN,13,21,NaN,9,86,83,5
20200327,13,师专,30,优,NaN,12,19,0.4,9,94,86,5
20200327,14,八中,NaN,,NaN,NaN,NaN,0.4,6,102,86,4
20200327,14,师专,33,优,NaN,11,17,0.3,8,104,88,5
20200327,15,八中,30,优,NaN,14,21,0.4,8,93,87,4
20200327,15,师专,34,优,NaN,12,18,0.3,8,107,90,4
20200327,15,八中,30,优,NaN,14,21,0.4,8,93,87,4
20200327,15,师专,34,优,NaN,12,18,0.3,8,107,90,4
20200327,16,八中,30,优,NaN,20,30,0.4,11,77,85,4
20200327,16,师专,28,优,NaN,19,27,0.3,9,88,90,4
20200327,17,八中,26,优,NaN,17,25,0.4,7,82,85,4
20200327,17,师专,29,优,NaN,20,27,0.3,9,86,90,4
20200327,17,八中,26,优,NaN,17,25,0.4,7,82,85,4
20200327,17,师专,29,优,NaN,20,27,0.3,9,86,90,4
20200330,07,八中,14,优,NaN,9,11,0.4,8,43,41,4
20200330,07,师专,13,优,NaN,7,10,0.4,9,40,41,5
20200330,08,八中,12,优,NaN,7,9,0.5,13,36,40,6
20200330,08,师专,13,优,NaN,6,9,0.4,12,39,41,5
20200330,09,八中,15,优,NaN,10,13,0.5,22,28,40,8
20200330,09,师专,18,优,NaN,12,13,0.5,23,29,40,6
20200330,09,八中,15,优,NaN,10,13,0.5,22,28,40,8
20200330,09,师专,18,优,NaN,12,13,0.5,23,29,40,6
20200330,09,八中,15,优,NaN,10,13,0.5,22,28,40,8
20200330,09,师专,18,优,NaN,12,13,0.5,23,29,40,6
20200330,10,八中,23,优,NaN,16,19,0.5,29,21,38,13
20200330,10,师专,25,优,NaN,17,NaN,0.4,26,24,38,8
20200330,10,八中,23,优,NaN,16,19,0.5,29,21,38,13
20200330,10,师专,25,优,NaN,17,NaN,0.4,26,24,38,8
20200330,11,八中,20,优,NaN,14,18,0.5,25,26,36,11
20200330,11,师专,19,优,NaN,13,14,0.4,23,27,37,8
