Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,清河小学,27,优,NaN,10,26,0.7,53,31,37,6
20200402,08,嘉兴学院,28,优,NaN,13,28,0.7,45,34,43,7
20200402,08,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,南湖区残联,32,优,NaN,15,32,0.8,54,26,37,6
20200402,09,清河小学,19,优,NaN,6,18,0.6,36,60,36,6
20200402,09,嘉兴学院,22,优,NaN,10,22,0.6,35,56,42,8
20200402,09,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,南湖区残联,21,优,NaN,9,21,0.7,39,54,37,8
20200402,10,清河小学,23,优,NaN,6,16,0.5,30,71,38,7
20200402,10,嘉兴学院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,南湖区残联,21,优,NaN,8,19,0.6,29,67,39,6
20200402,11,清河小学,25,优,NaN,6,17,0.5,29,78,42,5
20200402,11,嘉兴学院,24,优,NaN,9,22,0.5,27,75,43,7
20200402,11,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,南湖区残联,25,优,NaN,9,20,0.6,29,77,43,7
20200402,12,清河小学,28,优,NaN,7,20,0.5,32,89,48,7
20200402,12,嘉兴学院,27,优,NaN,8,21,0.5,26,86,50,9
20200402,12,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,南湖区残联,28,优,NaN,10,21,0.6,28,88,49,7
20200402,13,清河小学,32,优,NaN,6,19,0.4,27,101,58,7
20200402,13,嘉兴学院,30,优,NaN,7,19,0.5,22,95,59,10
20200402,13,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,南湖区残联,30,优,NaN,9,19,0.6,24,93,56,8
20200402,14,清河小学,31,优,NaN,6,19,0.4,29,99,69,6
20200402,14,嘉兴学院,27,优,NaN,7,20,0.5,25,86,67,7
20200402,14,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,南湖区残联,30,优,NaN,11,22,NaN,24,96,65,NaN
20200402,15,清河小学,34,优,NaN,7,20,0.4,25,108,80,6
20200402,15,嘉兴学院,31,优,NaN,8,22,0.5,24,99,76,7
20200402,15,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,南湖区残联,33,优,NaN,11,25,0.4,NaN,103,76,6
20200402,16,清河小学,34,优,NaN,7,22,0.4,26,107,89,6
20200402,16,嘉兴学院,32,优,NaN,8,24,0.5,24,100,85,7
20200402,16,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,南湖区残联,32,优,NaN,10,25,0.4,21,100,85,6
20200402,17,清河小学,32,优,NaN,8,26,0.4,32,102,94,6
20200402,17,嘉兴学院,31,优,NaN,10,27,0.5,27,97,91,7
20200402,17,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,南湖区残联,32,优,NaN,10,25,0.4,24,102,91,6
20200402,18,清河小学,31,优,NaN,8,29,0.5,35,98,98,6
20200402,18,嘉兴学院,29,优,NaN,12,29,0.5,34,88,91,8
20200402,18,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,南湖区残联,30,优,NaN,10,27,0.4,31,95,94,7
20200402,19,清河小学,34,优,NaN,11,34,0.5,42,90,99,7
20200402,19,嘉兴学院,31,优,NaN,13,31,0.6,32,90,93,8
20200402,19,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,南湖区残联,28,优,NaN,10,28,0.5,36,88,96,8
20200402,20,清河小学,35,优,NaN,12,35,0.5,35,95,100,7
20200402,20,嘉兴学院,36,优,NaN,14,36,0.6,33,84,92,8
20200402,20,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,南湖区残联,32,优,NaN,12,32,0.4,35,90,96,9
20200402,20,清河小学,35,优,NaN,12,35,0.5,35,95,100,7
20200402,20,嘉兴学院,36,优,NaN,14,36,0.6,33,84,92,8
20200402,20,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,南湖区残联,32,优,NaN,12,32,0.4,35,90,96,9
20200402,22,清河小学,33,优,NaN,12,33,0.5,34,90,98,5
20200402,22,嘉兴学院,39,优,NaN,15,39,0.6,28,91,92,7
20200402,22,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,南湖区残联,39,优,NaN,21,39,0.4,33,88,95,5
20200402,23,清河小学,34,优,NaN,13,34,0.5,34,86,96,5
20200402,23,嘉兴学院,42,优,NaN,17,42,0.6,30,82,90,8
20200402,23,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,南湖区残联,40,优,NaN,23,40,0.4,37,78,92,5
20200403,00,清河小学,37,优,NaN,14,37,0.5,31,87,93,4
20200403,00,嘉兴学院,41,优,NaN,17,41,0.5,30,74,86,6
20200403,00,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,南湖区残联,39,优,NaN,21,39,0.4,38,71,88,6
20200403,01,清河小学,41,优,NaN,16,41,0.5,27,91,91,5
20200403,01,嘉兴学院,42,优,NaN,19,42,0.5,26,79,79,6
20200403,01,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,南湖区残联,41,优,NaN,22,41,0.4,32,76,76,4
20200403,02,清河小学,44,优,NaN,18,44,0.5,26,91,91,5
20200403,02,嘉兴学院,46,优,NaN,20,46,0.5,25,82,80,6
20200403,02,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,南湖区残联,47,优,NaN,25,47,0.4,28,79,78,5
20200403,03,清河小学,51,良,颗粒物(PM10),22,52,0.5,31,80,87,5
20200403,03,嘉兴学院,50,优,NaN,23,50,0.5,24,79,80,6
20200403,03,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,南湖区残联,51,良,颗粒物(PM10),26,51,0.4,29,72,76,5
20200403,08,清河小学,52,良,颗粒物(PM10),28,54,0.6,44,68,79,6
20200403,08,嘉兴学院,52,良,颗粒物(PM10),27,54,0.6,36,68,78,7
20200403,08,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,08,南湖区残联,57,良,颗粒物(PM10),30,64,0.5,47,59,74,8
20200403,09,清河小学,46,优,NaN,22,46,0.5,35,86,78,5
20200403,09,嘉兴学院,48,优,NaN,24,48,0.6,32,78,78,7
20200403,09,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,09,南湖区残联,46,优,NaN,22,46,0.4,33,81,74,6
20200403,10,清河小学,49,优,NaN,26,49,0.5,30,98,79,6
20200403,10,嘉兴学院,51,良,颗粒物(PM10),27,52,0.6,27,92,79,6
20200403,10,监测站,NaN,—,—,NaN,NaN,NaN,NaN,NaN,NaN,NaN
