Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,兰炼宾馆,49,优,NaN,29,49,0.6,20,81,74,5
20200326,18,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200326,18,生物制品所,37,优,NaN,21,37,0.9,19,79,76,5
20200326,18,铁路设计院,44,优,NaN,24,44,1.0,31,74,66,6
20200326,18,榆中兰大校区(对照点),34,优,NaN,10,34,0.5,2,97,92,2
20200326,18,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200326,18,教育港,43,优,NaN,26,43,0.4,19,76,73,5
20200326,20,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,兰炼宾馆,46,优,NaN,32,45,0.6,22,74,77,5
20200326,20,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200326,20,生物制品所,44,优,NaN,15,44,1.0,37,62,75,6
20200326,20,铁路设计院,43,优,NaN,20,43,0.9,29,73,71,5
20200326,20,榆中兰大校区(对照点),39,优,NaN,17,39,0.5,2,97,95,2
20200326,20,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200326,20,教育港,48,优,NaN,31,48,0.5,32,61,72,7
20200326,21,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,兰炼宾馆,48,优,NaN,33,46,0.5,26,67,77,5
20200326,21,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200326,21,生物制品所,51,良,颗粒物(PM10),17,51,0.9,39,58,73,6
20200326,21,铁路设计院,45,优,NaN,25,45,0.9,27,77,74,5
20200326,21,榆中兰大校区(对照点),42,优,NaN,17,42,0.4,7,89,95,2
20200326,21,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200326,21,教育港,48,优,NaN,23,48,0.5,30,64,71,6
20200327,10,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,兰炼宾馆,71,良,颗粒物(PM10),40,92,0.9,69,60,41,10
20200327,10,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,10,生物制品所,56,良,颗粒物(PM10),26,61,1.1,40,43,44,12
20200327,10,铁路设计院,56,良,颗粒物(PM10),31,61,1.5,71,23,39,13
20200327,10,榆中兰大校区(对照点),37,优,NaN,15,37,0.6,5,78,73,3
20200327,10,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,10,教育港,57,良,颗粒物(PM10),22,64,1.2,56,26,36,12
20200327,11,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,兰炼宾馆,66,良,颗粒物(PM10),41,81,0.9,68,54,40,8
20200327,11,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,11,生物制品所,59,良,颗粒物(PM10),31,68,1.0,40,48,43,13
20200327,11,铁路设计院,62,良,颗粒物(PM10),35,74,1.2,58,38,36,13
20200327,11,榆中兰大校区(对照点),46,优,NaN,12,46,NaN,9,NaN,72,NaN
20200327,11,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,11,教育港,63,良,颗粒物(PM10),22,75,0.9,52,39,34,11
20200327,12,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,兰炼宾馆,67,良,颗粒物(PM10),39,83,1.0,63,51,39,8
20200327,12,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,12,生物制品所,61,良,颗粒物(PM10),40,72,0.9,41,49,42,12
20200327,12,铁路设计院,53,良,颗粒物(PM10),30,55,1.1,56,45,35,11
20200327,12,榆中兰大校区(对照点),NaN,,NaN,NaN,NaN,NaN,8,52,71,8
20200327,12,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,12,教育港,59,良,颗粒物(PM10),25,67,0.7,31,60,35,10
20200327,13,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,兰炼宾馆,68,良,颗粒物(PM10),36,86,0.8,47,71,42,9
20200327,13,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,13,生物制品所,65,良,颗粒物(PM10),43,79,0.8,41,53,41,10
20200327,13,铁路设计院,57,良,颗粒物(PM10),37,64,1.1,61,43,33,12
20200327,13,榆中兰大校区(对照点),NaN,,NaN,NaN,NaN,2.2,NaN,61,70,7
20200327,13,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,13,教育港,65,良,颗粒物(PM10),28,80,0.8,42,55,38,10
20200327,14,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,兰炼宾馆,62,良,颗粒物(PM10),31,74,0.8,38,90,49,9
20200327,14,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,14,生物制品所,68,良,颗粒物(PM10),36,86,0.8,38,61,42,10
20200327,14,铁路设计院,67,良,颗粒物(PM10),30,84,1.2,49,60,34,12
20200327,14,榆中兰大校区(对照点),60,良,颗粒物(PM10),20,69,1.3,8,73,70,9
20200327,14,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,14,教育港,64,良,颗粒物(PM10),NaN,78,0.6,33,69,42,9
20200327,14,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,兰炼宾馆,62,良,颗粒物(PM10),31,74,0.8,38,90,49,9
20200327,14,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,14,生物制品所,68,良,颗粒物(PM10),36,86,0.8,38,61,42,10
20200327,14,铁路设计院,67,良,颗粒物(PM10),30,84,1.2,49,60,34,12
20200327,14,榆中兰大校区(对照点),60,良,颗粒物(PM10),20,69,1.3,8,73,70,9
20200327,14,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,14,教育港,64,良,颗粒物(PM10),NaN,78,0.6,33,69,42,9
20200327,15,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,兰炼宾馆,55,良,颗粒物(PM10),31,60,0.7,27,88,57,6
20200327,15,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,15,生物制品所,56,良,颗粒物(PM10),35,62,0.7,25,81,46,9
20200327,15,铁路设计院,60,良,颗粒物(PM10),34,69,1.0,36,76,40,11
20200327,15,榆中兰大校区(对照点),57,良,颗粒物(PM10),13,63,0.7,2,91,74,5
20200327,15,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,15,教育港,50,优,NaN,NaN,50,0.6,24,79,48,7
20200327,17,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,兰炼宾馆,59,良,颗粒物(PM10),32,68,0.7,26,92,74,5
20200327,17,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200327,17,生物制品所,60,良,颗粒物(PM10),31,69,0.8,22,98,66,10
20200327,17,铁路设计院,59,良,颗粒物(PM10),32,68,1.0,30,93,58,9
20200327,17,榆中兰大校区(对照点),58,良,颗粒物(PM10),18,65,0.6,6,87,76,3
20200327,17,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200327,17,教育港,65,良,颗粒物(PM10),28,80,0.7,25,89,63,8
20200330,10,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,兰炼宾馆,104,轻度污染,细颗粒物(PM2.5),78,123,1.5,96,26,9,39
20200330,10,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200330,10,生物制品所,98,良,颗粒物(PM10),42,146,1.6,66,12,9,15
20200330,10,铁路设计院,92,良,颗粒物(PM10),39,134,1.6,83,14,14,16
20200330,10,榆中兰大校区(对照点),62,良,颗粒物(PM10),23,74,1.1,14,67,72,4
20200330,10,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200330,10,教育港,101,轻度污染,颗粒物(PM10),47,151,1.4,74,8,6,14
20200330,10,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,兰炼宾馆,104,轻度污染,细颗粒物(PM2.5),78,123,1.5,96,26,9,39
20200330,10,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200330,10,生物制品所,98,良,颗粒物(PM10),42,146,1.6,66,12,9,15
20200330,10,铁路设计院,92,良,颗粒物(PM10),39,134,1.6,83,14,14,16
20200330,10,榆中兰大校区(对照点),62,良,颗粒物(PM10),23,74,1.1,14,67,72,4
20200330,10,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200330,10,教育港,101,轻度污染,颗粒物(PM10),47,151,1.4,74,8,6,14
20200330,10,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,兰炼宾馆,104,轻度污染,细颗粒物(PM2.5),78,123,1.5,96,26,9,39
20200330,10,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200330,10,生物制品所,98,良,颗粒物(PM10),42,146,1.6,66,12,9,15
20200330,10,铁路设计院,92,良,颗粒物(PM10),39,134,1.6,83,14,14,16
20200330,10,榆中兰大校区(对照点),62,良,颗粒物(PM10),23,74,1.1,14,67,72,4
20200330,10,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200330,10,教育港,101,轻度污染,颗粒物(PM10),47,151,1.4,74,8,6,14
20200330,11,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,兰炼宾馆,106,轻度污染,颗粒物(PM10),76,162,1.6,95,41,13,60
20200330,11,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200330,11,生物制品所,97,良,颗粒物(PM10),48,143,1.5,75,17,10,15
20200330,11,铁路设计院,92,良,颗粒物(PM10),37,134,1.6,86,NaN,14,14
20200330,11,榆中兰大校区(对照点),76,良,颗粒物(PM10),23,101,1.5,20,64,72,13
20200330,11,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200330,11,教育港,105,轻度污染,颗粒物(PM10),60,159,1.4,80,16,7,21
