Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,市环境监测站,42,优,NaN,4,42,0.6,12,62,52,3
20200326,19,周口师范,45,优,NaN,6,45,0.4,11,58,49,5
20200326,19,市运管处,55,良,颗粒物(PM10),3,60,0.4,13,58,49,4
20200326,19,川汇区环保局,40,优,NaN,3,40,0.4,16,60,52,4
20200326,20,市环境监测站,20,优,NaN,2,10,0.5,12,62,54,3
20200326,20,周口师范,19,优,NaN,4,10,0.5,10,59,50,5
20200326,20,市运管处,21,优,NaN,2,21,0.4,12,58,51,4
20200326,20,川汇区环保局,20,优,NaN,2,15,0.4,15,61,53,5
20200327,10,市环境监测站,39,优,NaN,5,39,0.6,16,51,49,5
20200327,10,周口师范,34,优,NaN,7,34,0.5,15,50,46,7
20200327,10,市运管处,46,优,NaN,7,46,0.2,18,48,46,6
20200327,10,川汇区环保局,30,优,NaN,6,30,0.5,20,49,48,7
20200327,11,市环境监测站,45,优,NaN,4,45,0.5,14,60,50,5
20200327,11,周口师范,38,优,NaN,5,38,0.4,14,59,46,7
20200327,11,市运管处,49,优,NaN,5,49,0.2,16,56,46,6
20200327,11,川汇区环保局,28,优,NaN,4,28,0.4,19,58,48,6
20200327,12,市环境监测站,44,优,NaN,2,44,0.5,10,72,52,5
20200327,12,周口师范,35,优,NaN,3,35,0.4,12,69,49,6
20200327,12,市运管处,39,优,NaN,3,39,0.1,13,68,48,5
20200327,12,川汇区环保局,34,优,NaN,2,34,0.4,17,72,51,6
20200327,13,市环境监测站,52,良,颗粒物(PM10),2,54,0.4,11,75,56,4
20200327,13,周口师范,44,优,NaN,3,44,0.4,13,70,52,6
20200327,13,市运管处,44,优,NaN,3,44,0.1,13,70,52,5
20200327,13,川汇区环保局,37,优,NaN,2,37,0.4,18,72,54,6
20200327,14,市环境监测站,49,优,NaN,3,49,0.4,12,73,59,5
20200327,14,周口师范,40,优,NaN,4,40,0.4,14,70,56,7
20200327,14,市运管处,46,优,NaN,3,46,0.1,14,68,55,5
20200327,14,川汇区环保局,37,优,NaN,3,37,0.4,18,71,57,6
20200327,15,市环境监测站,51,良,颗粒物(PM10),4,51,0.4,15,71,62,5
20200327,15,周口师范,47,优,NaN,4,47,0.4,16,67,59,7
20200327,15,市运管处,32,优,NaN,4,32,0.2,15,68,58,6
20200327,15,川汇区环保局,42,优,NaN,3,42,0.4,20,68,60,7
20200327,17,市环境监测站,56,良,颗粒物(PM10),6,61,0.4,17,67,66,5
20200327,17,周口师范,47,优,NaN,6,47,0.4,19,62,63,6
20200327,17,市运管处,49,优,NaN,4,49,0.3,17,66,63,6
20200327,17,川汇区环保局,48,优,NaN,4,48,0.4,24,60,64,7
20200330,11,市环境监测站,60,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",43,70,0.7,20,67,29,9
20200330,11,周口师范,53,良,细颗粒物(PM2.5),37,51,0.6,15,70,30,7
20200330,11,市运管处,54,良,细颗粒物(PM2.5),38,43,0.6,23,69,24,7
20200330,11,川汇区环保局,50,优,NaN,35,NaN,0.6,19,77,36,8
20200330,12,市环境监测站,52,良,细颗粒物(PM2.5),36,52,0.6,17,79,34,6
20200330,12,周口师范,45,优,NaN,31,44,0.5,12,81,37,6
20200330,12,市运管处,53,良,细颗粒物(PM2.5),37,46,0.5,23,71,29,5
20200330,12,川汇区环保局,49,优,NaN,34,40,0.6,19,80,43,6
