Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,曹张,79,良,细颗粒物(PM2.5),58,84,1.1,78,NaN,8,8
20200326,19,漆塘,75,良,细颗粒物(PM2.5),55,70,1.0,63,4,16,6
20200326,19,东亭,78,良,细颗粒物(PM2.5),57,82,1.5,84,4,10,5
20200326,19,旺庄,75,良,细颗粒物(PM2.5),55,73,1.2,80,NaN,9,5
20200326,19,堰桥,80,良,细颗粒物(PM2.5),59,82,1.5,79,1,9,5
20200326,19,雪浪,72,良,细颗粒物(PM2.5),52,71,1.1,71,NaN,7,6
20200326,19,黄巷,84,良,细颗粒物(PM2.5),62,90,0.9,92,NaN,5,5
20200326,19,荣巷,75,良,细颗粒物(PM2.5),55,69,1.1,68,NaN,10,4
20200326,20,曹张,78,良,细颗粒物(PM2.5),57,85,1.2,76,NaN,6,7
20200326,20,漆塘,62,良,细颗粒物(PM2.5),44,68,0.9,60,4,15,6
20200326,20,东亭,92,良,细颗粒物(PM2.5),68,102,1.4,82,1,8,5
20200326,20,旺庄,84,良,细颗粒物(PM2.5),62,92,1.4,78,NaN,7,5
20200326,20,堰桥,85,良,细颗粒物(PM2.5),63,78,1.5,84,NaN,8,5
20200326,20,雪浪,70,良,细颗粒物(PM2.5),51,67,1.0,64,NaN,6,6
20200326,20,黄巷,87,良,细颗粒物(PM2.5),64,97,1.0,92,1,3,7
20200326,20,荣巷,78,良,细颗粒物(PM2.5),57,68,1.0,59,3,9,4
20200327,10,曹张,26,优,NaN,12,26,0.7,21,50,48,5
20200327,10,漆塘,23,优,NaN,8,23,0.7,22,60,54,5
20200327,10,东亭,21,优,NaN,13,21,0.5,23,57,51,3
20200327,10,旺庄,28,优,NaN,19,24,0.7,21,55,49,3
20200327,10,堰桥,27,优,NaN,12,27,1.0,13,62,54,5
20200327,10,雪浪,24,优,NaN,16,24,0.7,18,58,50,4
20200327,10,黄巷,25,优,NaN,13,25,0.6,23,56,50,4
20200327,10,荣巷,33,优,NaN,23,NaN,0.8,21,58,52,4
20200327,11,曹张,30,优,NaN,16,30,0.6,18,57,49,6
20200327,11,漆塘,27,优,NaN,11,27,0.6,22,64,56,5
20200327,11,东亭,31,优,NaN,20,31,0.4,22,62,52,4
20200327,11,旺庄,36,优,NaN,8,36,0.6,18,62,51,4
20200327,11,堰桥,29,优,NaN,11,29,0.9,12,64,55,5
20200327,11,雪浪,36,优,NaN,9,36,0.6,22,60,51,4
20200327,11,黄巷,35,优,NaN,18,35,0.5,21,61,51,4
20200327,11,荣巷,27,优,NaN,13,27,0.7,19,62,53,5
20200327,12,曹张,32,优,NaN,10,32,0.6,18,57,50,7
20200327,12,漆塘,33,优,NaN,15,33,0.6,22,64,57,6
20200327,12,东亭,36,优,NaN,15,36,0.4,21,64,54,4
20200327,12,旺庄,37,优,NaN,18,37,0.6,17,63,53,4
20200327,12,堰桥,32,优,NaN,10,32,0.9,10,66,58,6
20200327,12,雪浪,93,良,颗粒物(PM10),9,135,0.6,21,63,53,5
20200327,12,黄巷,40,优,NaN,14,40,0.5,21,61,53,5
20200327,12,荣巷,NaN,,NaN,NaN,NaN,0.7,18,62,55,5
20200327,13,曹张,32,优,NaN,10,32,0.5,16,65,53,7
20200327,13,漆塘,35,优,NaN,11,35,0.4,18,70,60,6
20200327,13,东亭,52,良,颗粒物(PM10),15,54,0.4,20,70,58,4
20200327,13,旺庄,42,优,NaN,16,42,0.6,15,69,56,5
20200327,13,堰桥,43,优,NaN,9,43,0.7,8,74,62,5
20200327,13,雪浪,NaN,,NaN,9,NaN,0.5,21,68,56,6
20200327,13,黄巷,35,优,NaN,14,35,0.4,18,69,56,5
20200327,13,荣巷,NaN,,NaN,NaN,NaN,0.6,15,NaN,57,5
20200327,14,曹张,36,优,NaN,13,36,0.5,16,71,56,7
20200327,14,漆塘,39,优,NaN,9,39,0.4,19,74,63,6
20200327,14,东亭,50,优,NaN,14,50,0.4,23,73,61,4
20200327,14,旺庄,47,优,NaN,16,47,0.7,16,75,60,5
20200327,14,堰桥,42,优,NaN,10,42,0.6,9,84,66,5
20200327,14,雪浪,53,良,颗粒物(PM10),10,55,0.5,22,76,60,5
20200327,14,黄巷,50,优,NaN,14,50,0.4,19,75,60,5
20200327,14,荣巷,44,优,NaN,14,44,0.4,NaN,72,60,5
20200327,15,曹张,NaN,,NaN,NaN,NaN,0.6,21,74,60,NaN
20200327,15,漆塘,47,优,NaN,9,47,0.4,18,84,66,6
20200327,15,东亭,48,优,NaN,18,48,0.4,24,79,64,4
20200327,15,旺庄,52,良,颗粒物(PM10),16,53,0.6,16,82,64,4
20200327,15,堰桥,51,良,颗粒物(PM10),8,51,0.6,12,86,70,6
20200327,15,雪浪,53,良,颗粒物(PM10),14,55,0.5,26,78,64,6
20200327,15,黄巷,50,优,NaN,12,50,0.4,22,80,64,5
20200327,15,荣巷,51,良,颗粒物(PM10),11,52,0.4,16,80,64,NaN
20200327,17,曹张,49,优,NaN,15,49,NaN,20,NaN,65,4
20200327,17,漆塘,57,良,颗粒物(PM10),22,63,0.5,18,87,74,6
20200327,17,东亭,55,良,颗粒物(PM10),21,59,0.4,27,75,70,4
20200327,17,旺庄,50,优,NaN,10,50,0.6,20,77,71,5
20200327,17,堰桥,51,良,颗粒物(PM10),5,51,0.5,15,84,76,5
20200327,17,雪浪,55,良,颗粒物(PM10),14,59,0.5,20,91,73,6
20200327,17,黄巷,50,优,NaN,10,50,0.4,25,77,70,5
20200327,17,荣巷,52,良,颗粒物(PM10),16,54,0.5,21,80,71,4
20200330,11,曹张,39,优,NaN,21,39,0.9,34,45,35,3
20200330,11,漆塘,38,优,NaN,26,33,0.8,30,60,48,6
20200330,11,东亭,33,优,NaN,23,31,0.6,38,48,36,3
20200330,11,旺庄,35,优,NaN,24,30,0.8,31,56,41,4
20200330,11,堰桥,50,优,NaN,35,38,0.8,25,60,48,5
20200330,11,雪浪,36,优,NaN,18,36,0.9,31,50,38,3
20200330,11,黄巷,39,优,NaN,25,39,1.3,32,54,39,6
20200330,11,荣巷,40,优,NaN,28,36,0.9,34,44,45,4
20200330,11,曹张,39,优,NaN,21,39,0.9,34,45,35,3
20200330,11,漆塘,38,优,NaN,26,33,0.8,30,60,48,6
20200330,11,东亭,33,优,NaN,23,31,0.6,38,48,36,3
20200330,11,旺庄,35,优,NaN,24,30,0.8,31,56,41,4
