Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保局子站,49,优,NaN,23,49,0.8,11,58,76,6
20200326,18,人民广场子站,54,良,颗粒物(PM10),11,57,0.3,1,57,75,3
20200326,20,环保局子站,38,优,NaN,13,38,0.9,6,78,73,6
20200326,20,人民广场子站,33,优,NaN,6,33,0.3,2,74,70,3
20200326,21,环保局子站,26,优,NaN,10,24,0.8,4,83,71,5
20200326,21,人民广场子站,26,优,NaN,5,26,0.2,2,77,69,3
20200327,10,环保局子站,116,轻度污染,颗粒物(PM10),16,181,0.7,3,82,82,6
20200327,10,人民广场子站,176,中度污染,颗粒物(PM10),11,301,0.2,2,77,77,3
20200327,11,环保局子站,109,轻度污染,颗粒物(PM10),14,168,0.6,2,85,76,5
20200327,11,人民广场子站,99,良,颗粒物(PM10),7,148,0.2,2,79,71,3
20200327,12,环保局子站,92,良,颗粒物(PM10),8,134,0.6,2,85,77,6
20200327,12,人民广场子站,NaN,,NaN,NaN,NaN,0.3,2,82,73,2
20200327,13,环保局子站,74,良,颗粒物(PM10),9,97,0.5,2,85,79,6
20200327,13,人民广场子站,NaN,,NaN,NaN,NaN,0.3,1,81,74,3
20200327,14,环保局子站,69,良,颗粒物(PM10),10,87,0.5,2,87,80,6
20200327,14,人民广场子站,9,优,NaN,6,NaN,0.3,2,NaN,75,3
20200327,14,环保局子站,69,良,颗粒物(PM10),10,87,0.5,2,87,80,6
20200327,14,人民广场子站,9,优,NaN,6,NaN,0.3,2,NaN,75,3
20200327,15,环保局子站,69,良,颗粒物(PM10),9,87,0.5,2,88,83,NaN
20200327,15,人民广场子站,55,良,颗粒物(PM10),1,59,0.2,1,48,73,3
20200327,17,环保局子站,58,良,颗粒物(PM10),9,66,0.5,NaN,88,86,5
20200327,17,人民广场子站,36,优,NaN,NaN,36,0.3,3,77,74,3
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,10,环保局子站,74,良,颗粒物(PM10),48,98,0.6,27,72,30,21
20200330,10,人民广场子站,74,良,颗粒物(PM10),39,98,0.6,23,70,31,16
20200330,11,环保局子站,77,良,颗粒物(PM10),50,104,0.7,28,78,39,25
20200330,11,人民广场子站,83,良,颗粒物(PM10),52,115,0.7,25,83,37,20
