Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,南城元岭,18,优,NaN,9,13,0.3,12,57,63,7
20200326,18,东城石井,26,优,NaN,18,NaN,0.4,20,48,55,8
20200326,18,南城西平,18,优,NaN,10,10,0.7,9,56,58,7
20200326,18,东城主山,20,优,NaN,14,19,0.5,16,54,58,7
20200326,18,莞城梨川,NaN,,NaN,NaN,NaN,NaN,16,54,63,NaN
20200326,20,南城元岭,18,优,NaN,12,18,0.4,22,40,60,7
20200326,20,东城石井,26,优,NaN,18,19,0.5,23,26,51,8
20200326,20,南城西平,16,优,NaN,11,15,0.7,14,44,57,7
20200326,20,东城主山,25,优,NaN,17,22,0.5,20,38,56,7
20200326,20,莞城梨川,18,优,NaN,NaN,18,0.4,23,40,61,5
20200326,21,南城元岭,20,优,NaN,10,20,0.4,26,35,56,8
20200326,21,东城石井,26,优,NaN,18,24,0.5,30,22,46,9
20200326,21,南城西平,19,优,NaN,12,19,0.7,20,37,54,6
20200326,21,东城主山,24,优,NaN,15,24,0.5,24,31,52,6
20200326,21,莞城梨川,22,优,NaN,NaN,22,0.5,29,34,57,6
20200327,10,南城元岭,61,良,颗粒物(PM10),38,72,0.6,44,20,4,18
20200327,10,东城石井,65,良,颗粒物(PM10),44,80,0.7,49,17,3,17
20200327,10,南城西平,53,良,颗粒物(PM10),33,56,0.9,40,21,9,8
20200327,10,东城主山,77,良,细颗粒物(PM2.5),56,77,0.7,40,21,7,13
20200327,10,莞城梨川,NaN,,NaN,NaN,102,0.7,45,24,9,12
20200327,11,南城元岭,56,良,颗粒物(PM10),37,61,0.6,44,42,10,13
20200327,11,东城石井,51,良,颗粒物(PM10),33,51,0.6,45,37,8,12
20200327,11,南城西平,43,优,NaN,26,43,0.8,33,37,13,8
20200327,11,东城主山,58,良,细颗粒物(PM2.5),41,60,0.7,39,41,12,13
20200327,11,莞城梨川,65,良,颗粒物(PM10),NaN,79,0.6,46,43,14,10
20200327,12,南城元岭,39,优,NaN,26,39,0.4,31,62,17,8
20200327,12,东城石井,38,优,NaN,26,35,0.5,30,60,15,9
20200327,12,南城西平,35,优,NaN,24,33,0.8,26,59,19,8
20200327,12,东城主山,40,优,NaN,26,40,0.6,30,60,19,10
20200327,12,莞城梨川,52,良,颗粒物(PM10),NaN,53,0.5,39,60,21,7
20200327,13,南城元岭,29,优,NaN,18,29,0.4,20,76,27,8
20200327,13,东城石井,33,优,NaN,23,28,0.5,25,68,24,9
20200327,13,南城西平,22,优,NaN,15,20,0.7,13,66,27,7
20200327,13,东城主山,29,优,NaN,19,29,0.5,20,75,28,8
20200327,13,莞城梨川,31,优,NaN,NaN,31,0.4,22,77,30,5
20200327,13,南城元岭,29,优,NaN,18,29,0.4,20,76,27,8
20200327,13,东城石井,33,优,NaN,23,28,0.5,25,68,24,9
20200327,13,南城西平,22,优,NaN,15,20,0.7,13,66,27,7
20200327,13,东城主山,29,优,NaN,19,29,0.5,20,75,28,8
20200327,13,莞城梨川,31,优,NaN,NaN,31,0.4,22,77,30,5
20200327,14,南城元岭,21,优,NaN,10,16,0.3,9,65,35,8
20200327,14,东城石井,26,优,NaN,18,NaN,0.4,10,59,31,9
