Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,东山公园,235,重度污染,颗粒物(PM10),92,374,0.4,9,86,84,4
20200326,18,西小区,186,中度污染,颗粒物(PM10),68,321,0.4,10,82,80,2
20200326,18,市检察院,197,中度污染,颗粒物(PM10),83,344,0.4,17,82,86,2
20200326,18,耐火材料厂,24,优,NaN,NaN,NaN,0.4,19,75,73,5
20200326,20,东山公园,118,轻度污染,颗粒物(PM10),87,185,0.4,10,79,86,4
20200326,20,西小区,105,轻度污染,颗粒物(PM10),61,159,0.3,12,72,78,2
20200326,20,市检察院,117,轻度污染,颗粒物(PM10),78,184,0.3,18,73,84,3
20200326,20,耐火材料厂,116,轻度污染,颗粒物(PM10),36,182,0.4,25,64,72,5
20200326,21,东山公园,88,良,细颗粒物(PM2.5),65,118,0.4,9,76,84,4
20200326,21,西小区,76,良,颗粒物(PM10),48,101,0.3,14,66,76,2
20200326,21,市检察院,84,良,颗粒物(PM10),61,117,0.3,15,71,81,2
20200326,21,耐火材料厂,85,良,颗粒物(PM10),30,119,0.4,29,55,69,5
20200327,10,东山公园,50,优,NaN,6,50,0.4,16,51,51,4
20200327,10,西小区,66,良,颗粒物(PM10),20,82,0.4,21,50,50,3
20200327,10,市检察院,47,优,NaN,15,47,0.4,23,53,48,3
20200327,10,耐火材料厂,45,优,NaN,15,45,0.4,26,44,44,5
20200327,11,东山公园,39,优,NaN,7,39,0.3,12,67,48,4
20200327,11,西小区,35,优,NaN,17,35,0.4,16,61,46,3
20200327,11,市检察院,32,优,NaN,16,32,0.3,16,64,48,1
20200327,11,耐火材料厂,46,优,NaN,15,46,0.4,27,50,38,5
20200327,12,东山公园,32,优,NaN,8,32,0.3,11,79,50,4
20200327,12,西小区,41,优,NaN,15,41,0.3,13,78,49,3
20200327,12,市检察院,43,优,NaN,16,43,0.3,15,78,49,1
20200327,12,耐火材料厂,44,优,NaN,14,44,0.4,20,71,41,5
20200327,13,东山公园,39,优,NaN,7,39,0.3,11,86,54,4
20200327,13,西小区,38,优,NaN,9,38,0.4,10,88,53,3
20200327,13,市检察院,42,优,NaN,15,42,0.3,12,92,53,2
20200327,13,耐火材料厂,43,优,NaN,16,43,0.4,18,81,45,5
20200327,13,东山公园,39,优,NaN,7,39,0.3,11,86,54,4
20200327,13,西小区,38,优,NaN,9,38,0.4,10,88,53,3
20200327,13,市检察院,42,优,NaN,15,42,0.3,12,92,53,2
20200327,13,耐火材料厂,43,优,NaN,16,43,0.4,18,81,45,5
20200327,14,东山公园,44,优,NaN,14,44,0.3,11,91,60,5
20200327,14,西小区,44,优,NaN,13,44,0.3,8,94,58,3
20200327,14,市检察院,36,优,NaN,17,36,0.3,12,96,58,2
20200327,14,耐火材料厂,42,优,NaN,15,42,0.4,17,87,51,5
20200327,15,东山公园,39,优,NaN,16,39,0.3,7,104,67,4
20200327,15,西小区,37,优,NaN,15,37,0.3,8,99,66,2
20200327,15,市检察院,45,优,NaN,19,45,0.3,11,105,67,1
20200327,15,耐火材料厂,38,优,NaN,17,38,0.4,17,90,59,5
20200327,15,东山公园,39,优,NaN,16,39,0.3,7,104,67,4
20200327,15,西小区,37,优,NaN,15,37,0.3,8,99,66,2
20200327,15,市检察院,45,优,NaN,19,45,0.3,11,105,67,1
20200327,15,耐火材料厂,38,优,NaN,17,38,0.4,17,90,59,5
20200327,16,东山公园,35,优,NaN,18,35,0.3,6,102,75,4
20200327,16,西小区,39,优,NaN,18,39,0.3,7,100,75,2
20200327,16,市检察院,38,优,NaN,18,38,0.3,10,104,78,1
20200327,16,耐火材料厂,38,优,NaN,15,38,0.4,16,91,68,5
20200327,17,东山公园,30,优,NaN,12,21,0.3,6,96,84,4
20200327,17,西小区,29,优,NaN,16,29,0.3,8,92,83,2
20200327,17,市检察院,30,优,NaN,13,23,0.3,10,96,86,2
20200327,17,耐火材料厂,38,优,NaN,15,38,0.3,17,86,75,5
20200330,07,东山公园,26,优,NaN,10,26,0.5,15,31,36,5
20200330,07,西小区,24,优,NaN,11,24,0.5,21,32,32,4
20200330,07,市检察院,23,优,NaN,12,23,0.5,28,24,30,4
20200330,07,耐火材料厂,27,优,NaN,14,27,0.5,26,29,25,5
20200330,08,东山公园,26,优,NaN,15,26,0.5,13,30,35,4
20200330,08,西小区,24,优,NaN,12,24,0.7,35,16,30,4
