Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,马头岭,22,优,NaN,9,20,0.6,12,69,73,6
20200326,18,市职中,22,优,NaN,6,18,0.3,8,70,75,10
20200326,18,兴隆步行街,22,优,NaN,10,12,0.9,10,70,74,8
20200326,18,市审计局,20,优,NaN,11,19,0.4,9,64,67,5
20200326,18,市环保局,20,优,NaN,12,NaN,0.5,8,64,67,6
20200326,20,马头岭,19,优,NaN,10,16,0.6,12,59,70,6
20200326,20,市职中,20,优,NaN,10,19,0.3,9,62,71,10
20200326,20,兴隆步行街,20,优,NaN,12,14,1.0,10,61,70,8
20200326,20,市审计局,30,优,NaN,18,30,0.4,15,50,63,9
20200326,20,市环保局,22,优,NaN,8,22,0.5,9,57,64,10
20200326,21,马头岭,18,优,NaN,10,15,0.6,13,55,67,7
20200326,21,市职中,22,优,NaN,13,22,0.3,8,61,69,10
20200326,21,兴隆步行街,19,优,NaN,7,15,1.0,10,60,68,8
20200326,21,市审计局,30,优,NaN,20,30,0.4,10,54,62,6
20200326,21,市环保局,23,优,NaN,8,23,0.5,9,56,63,6
20200327,10,马头岭,32,优,NaN,21,32,0.8,NaN,56,47,9
20200327,10,市职中,42,优,NaN,29,NaN,0.6,12,48,49,12
20200327,10,兴隆步行街,31,优,NaN,17,31,1.3,13,45,52,12
20200327,10,市审计局,29,优,NaN,20,26,0.7,11,46,37,8
20200327,10,市环保局,32,优,NaN,22,32,0.8,15,34,39,7
20200327,11,马头岭,25,优,NaN,12,25,0.6,13,33,42,6
20200327,11,市职中,43,优,NaN,30,NaN,0.5,10,63,50,10
20200327,11,兴隆步行街,35,优,NaN,16,35,1.3,13,58,53,10
20200327,11,市审计局,35,优,NaN,24,NaN,0.6,11,56,39,6
20200327,11,市环保局,30,优,NaN,21,26,0.8,16,42,40,6
20200327,12,马头岭,20,优,NaN,13,20,0.5,11,19,38,6
20200327,12,市职中,32,优,NaN,22,NaN,0.5,8,35,48,9
20200327,12,兴隆步行街,24,优,NaN,13,24,NaN,12,39,51,8
20200327,12,市审计局,25,优,NaN,17,NaN,0.6,12,35,38,5
20200327,12,市环保局,26,优,NaN,15,26,0.7,14,37,40,6
20200327,13,马头岭,16,优,NaN,8,16,0.5,10,24,35,5
20200327,13,市职中,16,优,NaN,11,12,0.5,8,30,44,9
20200327,13,兴隆步行街,20,优,NaN,11,20,0.7,9,28,47,7
20200327,13,市审计局,16,优,NaN,11,13,0.5,9,27,38,4
20200327,13,市环保局,24,优,NaN,11,24,0.6,13,24,39,6
20200327,13,马头岭,16,优,NaN,8,16,0.5,10,24,35,5
20200327,13,市职中,16,优,NaN,11,12,0.5,8,30,44,9
20200327,13,兴隆步行街,20,优,NaN,11,20,0.7,9,28,47,7
20200327,13,市审计局,16,优,NaN,11,13,0.5,9,27,38,4
20200327,13,市环保局,24,优,NaN,11,24,0.6,13,24,39,6
20200327,14,马头岭,16,优,NaN,11,11,0.5,12,25,32,5
20200327,14,市职中,15,优,NaN,10,10,0.4,9,30,41,10
20200327,14,兴隆步行街,18,优,NaN,8,18,0.6,9,33,43,7
20200327,14,市审计局,19,优,NaN,2,19,0.5,9,28,38,4
20200327,14,市环保局,18,优,NaN,7,18,0.6,12,27,37,5
20200327,15,马头岭,10,优,NaN,5,10,0.5,12,26,30,5
20200327,15,市职中,12,优,NaN,8,10,0.4,10,28,38,10
20200327,15,兴隆步行街,17,优,NaN,7,17,0.5,10,31,39,7
20200327,15,市审计局,13,优,NaN,2,13,0.5,10,28,36,4
20200327,15,市环保局,11,优,NaN,5,11,0.5,15,25,32,5
20200327,15,马头岭,10,优,NaN,5,10,0.5,12,26,30,5
20200327,15,市职中,12,优,NaN,8,10,0.4,10,28,38,10
20200327,15,兴隆步行街,17,优,NaN,7,17,0.5,10,31,39,7
20200327,15,市审计局,13,优,NaN,2,13,0.5,10,28,36,4
20200327,15,市环保局,11,优,NaN,5,11,0.5,15,25,32,5
20200327,16,马头岭,10,优,NaN,7,10,0.5,12,29,32,5
20200327,16,市职中,12,优,NaN,8,8,0.4,10,27,38,9
20200327,16,兴隆步行街,11,优,NaN,4,10,0.5,10,34,38,6
20200327,16,市审计局,11,优,NaN,2,11,0.5,13,27,35,4
20200327,16,市环保局,9,优,NaN,NaN,5,0.6,14,26,30,5
20200327,17,马头岭,10,优,NaN,4,10,0.5,12,32,30,5
20200327,17,市职中,9,优,NaN,3,5,0.4,12,27,36,9
20200327,17,兴隆步行街,10,优,NaN,5,NaN,0.4,12,32,38,7
20200327,17,市审计局,10,优,NaN,5,10,0.5,14,26,34,4
20200327,17,市环保局,9,优,NaN,4,5,0.5,16,26,30,5
20200330,07,马头岭,11,优,NaN,6,NaN,0.5,11,35,35,5
20200330,07,市职中,12,优,NaN,8,NaN,0.4,6,31,30,8
20200330,07,兴隆步行街,13,优,NaN,7,8,0.1,9,40,40,6
20200330,07,市审计局,16,优,NaN,8,16,0.4,10,29,30,4
20200330,07,市环保局,17,优,NaN,3,17,0.5,13,30,31,5
20200330,08,马头岭,11,优,NaN,7,NaN,0.5,10,33,35,5
20200330,08,市职中,10,优,NaN,7,NaN,0.4,8,28,30,5
20200330,08,兴隆步行街,12,优,NaN,8,NaN,0.1,12,36,39,6
20200330,08,市审计局,9,优,NaN,4,8,0.5,13,26,29,5
20200330,08,市环保局,10,优,NaN,4,10,0.6,19,24,30,5
20200330,09,马头岭,10,优,NaN,4,4,0.5,10,32,34,5
