Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,竹园小学,39,优,NaN,NaN,39,0.7,13,36,38,5
20200326,18,掇刀,39,优,NaN,23,39,1.0,15,40,42,10
20200326,18,石化一小,34,优,NaN,NaN,34,0.8,13,26,30,7
20200326,18,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200326,18,西山林语,39,优,NaN,22,39,0.7,8,45,49,6
20200326,20,竹园小学,32,优,NaN,NaN,32,0.6,13,49,39,5
20200326,20,掇刀,26,优,NaN,18,26,0.9,12,49,43,8
20200326,20,石化一小,22,优,NaN,NaN,22,0.7,10,40,29,7
20200326,20,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200326,20,西山林语,24,优,NaN,15,24,0.6,8,59,49,6
20200326,21,竹园小学,25,优,NaN,12,25,0.5,10,51,41,5
20200326,21,掇刀,20,优,NaN,14,18,0.7,10,53,45,9
20200326,21,石化一小,17,优,NaN,NaN,17,0.7,10,44,31,7
20200326,21,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200326,21,西山林语,19,优,NaN,10,16,0.6,7,60,51,6
20200327,10,竹园小学,30,优,NaN,9,30,0.5,13,58,60,6
20200327,10,掇刀,32,优,NaN,7,32,0.2,13,65,69,9
20200327,10,石化一小,30,优,NaN,20,30,0.3,12,60,62,8
20200327,10,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,10,西山林语,30,优,NaN,5,30,0.2,6,75,76,8
20200327,11,竹园小学,32,优,NaN,10,32,0.5,16,55,60,6
20200327,11,掇刀,37,优,NaN,8,37,0.3,14,63,68,10
20200327,11,石化一小,29,优,NaN,18,29,0.3,12,60,62,8
20200327,11,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,11,西山林语,33,优,NaN,5,33,0.2,8,73,76,8
20200327,12,竹园小学,38,优,NaN,11,38,0.6,14,54,59,6
20200327,12,掇刀,44,优,NaN,9,44,0.3,15,62,67,10
20200327,12,石化一小,33,优,NaN,19,33,0.3,11,59,61,8
20200327,12,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,12,西山林语,41,优,NaN,6,41,0.2,8,73,76,8
20200327,13,竹园小学,32,优,NaN,9,32,0.5,10,60,58,6
20200327,13,掇刀,42,优,NaN,8,42,0.3,13,67,66,9
20200327,13,石化一小,32,优,NaN,19,32,0.3,10,63,61,8
20200327,13,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,13,西山林语,35,优,NaN,5,35,0.2,8,78,75,7
20200327,14,竹园小学,24,优,NaN,8,24,0.5,9,60,58,6
20200327,14,掇刀,31,优,NaN,7,31,0.2,13,69,66,8
20200327,14,石化一小,26,优,NaN,17,26,0.3,11,64,61,8
20200327,14,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,14,西山林语,31,优,NaN,5,31,0.2,8,77,75,7
20200327,14,竹园小学,24,优,NaN,8,24,0.5,9,60,58,6
20200327,14,掇刀,31,优,NaN,7,31,0.2,13,69,66,8
20200327,14,石化一小,26,优,NaN,17,26,0.3,11,64,61,8
20200327,14,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,14,西山林语,31,优,NaN,5,31,0.2,8,77,75,7
20200327,15,竹园小学,20,优,NaN,7,20,0.5,8,61,58,5
20200327,15,掇刀,32,优,NaN,7,32,0.2,12,69,66,8
20200327,15,石化一小,32,优,NaN,15,32,0.3,8,68,62,8
20200327,15,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,15,西山林语,25,优,NaN,5,23,0.2,7,78,76,6
20200327,16,竹园小学,20,优,NaN,8,16,0.5,9,62,59,4
20200327,16,掇刀,23,优,NaN,8,23,0.2,11,71,66,7
20200327,16,石化一小,22,优,NaN,3,21,0.3,7,68,63,8
20200327,16,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,16,西山林语,25,优,NaN,5,19,0.2,6,80,76,6
20200327,17,竹园小学,20,优,NaN,9,16,0.5,9,64,59,4
20200327,17,掇刀,23,优,NaN,8,19,0.2,11,72,67,7
20200327,17,石化一小,22,优,NaN,4,17,0.3,5,70,64,8
20200327,17,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200327,17,西山林语,26,优,NaN,6,16,0.2,5,81,77,5
20200330,08,竹园小学,60,良,细颗粒物(PM2.5),43,NaN,0.6,17,46,52,5
20200330,08,掇刀,57,良,细颗粒物(PM2.5),40,NaN,0.4,17,40,41,4
20200330,08,石化一小,64,良,细颗粒物(PM2.5),46,NaN,0.6,21,49,55,7
20200330,08,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,08,西山林语,50,优,NaN,35,NaN,0.4,9,63,62,6
20200330,09,竹园小学,64,良,细颗粒物(PM2.5),46,NaN,0.5,12,61,53,5
20200330,09,掇刀,54,良,细颗粒物(PM2.5),38,44,0.4,17,41,42,4
20200330,09,石化一小,70,良,细颗粒物(PM2.5),51,NaN,0.5,16,61,56,7
20200330,09,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,09,西山林语,46,优,NaN,32,34,0.4,10,68,63,6
20200330,10,竹园小学,57,良,细颗粒物(PM2.5),40,40,0.5,14,66,54,5
20200330,10,掇刀,57,良,细颗粒物(PM2.5),40,46,0.5,25,39,41,5
20200330,10,石化一小,59,良,细颗粒物(PM2.5),42,44,0.4,14,70,58,7
20200330,10,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,10,西山林语,42,优,NaN,29,37,0.4,12,77,65,7
20200330,10,竹园小学,57,良,细颗粒物(PM2.5),40,40,0.5,14,66,54,5
20200330,10,掇刀,57,良,细颗粒物(PM2.5),40,46,0.5,25,39,41,5
20200330,10,石化一小,59,良,细颗粒物(PM2.5),42,44,0.4,14,70,58,7
20200330,10,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,10,西山林语,42,优,NaN,29,37,0.4,12,77,65,7
20200330,10,竹园小学,57,良,细颗粒物(PM2.5),40,40,0.5,14,66,54,5
20200330,10,掇刀,57,良,细颗粒物(PM2.5),40,46,0.5,25,39,41,5
20200330,10,石化一小,59,良,细颗粒物(PM2.5),42,44,0.4,14,70,58,7
20200330,10,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,10,西山林语,42,优,NaN,29,37,0.4,12,77,65,7
20200330,11,竹园小学,38,优,NaN,26,26,0.4,8,77,57,5
20200330,11,掇刀,45,优,NaN,31,38,0.4,19,51,42,5
20200330,11,石化一小,42,优,NaN,29,NaN,0.4,9,86,61,7
20200330,11,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,11,西山林语,35,优,NaN,24,31,0.4,11,87,68,6
20200330,12,竹园小学,38,优,NaN,26,NaN,0.4,9,81,60,5
20200330,12,掇刀,40,优,NaN,28,NaN,0.4,15,60,45,7
20200330,12,石化一小,42,优,NaN,29,NaN,0.4,9,89,65,7
20200330,12,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,12,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,12,西山林语,33,优,NaN,23,NaN,0.3,8,92,72,6
20200330,13,竹园小学,38,优,NaN,26,NaN,0.5,11,82,64,5
20200330,13,掇刀,45,优,NaN,31,NaN,0.5,16,57,46,6
20200330,13,石化一小,43,优,NaN,30,NaN,0.4,13,86,69,7
20200330,13,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,13,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,13,西山林语,33,优,NaN,23,25,0.3,11,93,76,6
20200330,14,竹园小学,43,优,NaN,30,NaN,0.6,16,72,66,5
20200330,14,掇刀,46,优,NaN,32,NaN,0.6,15,59,48,6
20200330,14,石化一小,48,优,NaN,33,NaN,0.4,13,85,73,7
20200330,14,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,14,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,14,西山林语,39,优,NaN,27,27,0.3,15,83,79,7
20200330,15,竹园小学,48,优,NaN,33,NaN,0.6,15,77,70,6
20200330,15,掇刀,50,优,NaN,35,NaN,0.2,16,82,54,7
20200330,15,石化一小,48,优,NaN,33,NaN,0.4,13,88,77,8
20200330,15,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,15,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,15,西山林语,46,优,NaN,32,36,0.4,18,81,80,9
20200330,16,竹园小学,42,优,NaN,29,NaN,0.6,18,74,74,6
20200330,16,掇刀,43,优,NaN,30,NaN,NaN,16,83,59,6
20200330,16,石化一小,39,优,NaN,27,NaN,0.4,14,89,82,7
20200330,16,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,16,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,16,西山林语,40,优,NaN,28,34,0.3,18,82,83,9
20200330,17,竹园小学,32,优,NaN,22,24,0.6,18,70,75,5
20200330,17,掇刀,35,优,NaN,24,25,0.4,16,82,64,6
20200330,17,石化一小,32,优,NaN,22,NaN,0.4,11,88,85,7
20200330,17,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,17,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,17,西山林语,32,优,NaN,22,31,0.4,17,80,84,9
20200330,18,竹园小学,30,优,NaN,21,23,0.6,16,69,75,5
20200330,18,掇刀,32,优,NaN,22,23,0.4,18,80,69,6
20200330,18,石化一小,33,优,NaN,23,24,0.4,12,86,87,9
20200330,18,市政府,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,18,西山林语(启用161103),100,良,细颗粒物(PM2.5),75,138,1.1,35,23,25,5
20200330,18,西山林语,30,优,NaN,20,30,0.4,21,73,84,16
20200330,19,竹园小学,38,优,NaN,26,33,0.6,24,62,73,7
20200330,19,掇刀,36,优,NaN,25,33,0.5,26,69,72,8
