Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,玉树县结古镇,22,优,NaN,4,12,0.2,6,70,70,7
20200326,20,玉树县结古镇,22,优,NaN,6,18,0.3,9,70,70,11
20200327,10,玉树县结古镇,82,良,细颗粒物(PM2.5),60,102,0.7,28,41,31,28
20200327,11,玉树县结古镇,45,优,NaN,24,45,0.4,13,63,33,18
20200327,12,玉树县结古镇,26,优,NaN,10,26,0.3,9,76,37,15
20200327,13,玉树县结古镇,26,优,NaN,7,26,0.2,3,78,42,11
20200327,14,玉树县结古镇,25,优,NaN,2,21,0.1,3,77,48,13
20200327,15,玉树县结古镇,25,优,NaN,2,22,0.1,5,77,55,14
20200327,17,玉树县结古镇,22,优,NaN,2,22,0.1,4,66,68,15
20200330,11,玉树县结古镇,90,良,颗粒物(PM10),9,130,0.6,6,71,53,12
20200330,11,玉树县结古镇,90,良,颗粒物(PM10),9,130,0.6,6,71,53,12
20200330,13,玉树县结古镇,80,良,颗粒物(PM10),10,109,0.4,3,79,63,12
20200330,14,玉树县结古镇,80,良,颗粒物(PM10),12,109,0.4,3,80,66,12
20200330,15,玉树县结古镇,82,良,颗粒物(PM10),6,114,0.4,3,76,67,12
20200330,16,玉树县结古镇,60,良,颗粒物(PM10),5,70,0.4,4,79,68,13
20200330,17,玉树县结古镇,46,优,NaN,4,46,0.4,3,77,76,13
20200330,18,玉树县结古镇,53,良,颗粒物(PM10),4,56,0.4,5,69,76,13
20200330,19,玉树县结古镇,55,良,颗粒物(PM10),2,59,0.4,6,72,76,14
20200330,20,玉树县结古镇,40,优,NaN,4,40,0.4,7,82,77,15
20200330,21,玉树县结古镇,31,优,NaN,5,31,0.4,10,89,78,17
20200330,22,玉树县结古镇,43,优,NaN,4,43,0.4,8,93,80,14
20200330,22,玉树县结古镇,43,优,NaN,4,43,0.4,8,93,80,14
20200331,00,玉树县结古镇,42,优,NaN,5,42,0.5,14,76,81,16
20200331,00,玉树县结古镇,42,优,NaN,5,42,0.5,14,76,81,16
20200331,01,玉树县结古镇,41,优,NaN,8,41,0.5,8,78,78,14
20200331,02,玉树县结古镇,32,优,NaN,7,32,0.5,10,72,75,14
20200331,03,玉树县结古镇,29,优,NaN,9,29,0.5,10,66,72,14
20200331,04,玉树县结古镇,23,优,NaN,6,23,0.4,7,67,71,13
20200331,05,玉树县结古镇,22,优,NaN,5,22,0.5,6,63,69,12
20200331,06,玉树县结古镇,26,优,NaN,8,26,0.6,9,58,67,14
20200331,07,玉树县结古镇,34,优,NaN,12,34,0.6,20,47,64,14
20200331,08,玉树县结古镇,40,优,NaN,10,40,0.5,18,50,63,15
20200331,10,玉树县结古镇,42,优,NaN,15,42,0.6,25,58,57,34
20200331,11,玉树县结古镇,46,优,NaN,19,46,0.6,23,70,57,34
20200331,11,玉树县结古镇,46,优,NaN,19,46,0.6,23,70,57,34
20200331,13,玉树县结古镇,37,优,NaN,8,37,0.3,4,88,62,13
20200331,14,玉树县结古镇,39,优,NaN,2,39,0.3,3,72,64,12
20200331,15,玉树县结古镇,39,优,NaN,6,39,0.3,3,66,66,12
20200331,16,玉树县结古镇,40,优,NaN,4,40,0.3,3,57,67,12
20200331,17,玉树县结古镇,51,良,颗粒物(PM10),4,51,0.3,4,60,69,13
20200331,17,玉树县结古镇,51,良,颗粒物(PM10),4,51,0.3,4,60,69,13
20200331,19,玉树县结古镇,20,优,NaN,2,15,0.4,9,63,69,15
20200331,20,玉树县结古镇,20,优,NaN,5,17,0.4,12,64,66,18
20200331,21,玉树县结古镇,22,优,NaN,8,22,0.5,16,57,62,20
20200331,22,玉树县结古镇,25,优,NaN,9,25,0.4,11,58,61,17
20200331,23,玉树县结古镇,19,优,NaN,6,19,0.4,8,58,60,14
20200401,00,玉树县结古镇,19,优,NaN,4,18,0.4,5,59,60,13
20200401,00,玉树县结古镇,19,优,NaN,4,18,0.4,5,59,60,13
20200401,01,玉树县结古镇,18,优,NaN,3,18,0.4,6,56,56,12
20200401,02,玉树县结古镇,23,优,NaN,6,23,0.5,8,50,53,14
20200401,08,玉树县结古镇,32,优,NaN,11,32,0.6,38,15,37,19
20200401,09,玉树县结古镇,44,优,NaN,20,44,0.8,34,21,33,35
20200401,10,玉树县结古镇,56,良,颗粒物(PM10),30,62,0.7,29,36,31,51
20200401,11,玉树县结古镇,48,优,NaN,23,48,0.5,18,55,32,31
20200401,12,玉树县结古镇,24,优,NaN,9,24,0.3,4,69,36,13
20200401,13,玉树县结古镇,23,优,NaN,6,19,0.3,3,72,40,12
20200401,14,玉树县结古镇,23,优,NaN,3,17,0.3,3,73,45,11
20200401,15,玉树县结古镇,25,优,NaN,3,25,0.3,2,69,51,11
20200401,16,玉树县结古镇,23,优,NaN,1,16,0.2,3,73,58,10
20200401,17,玉树县结古镇,24,优,NaN,3,15,0.2,2,74,65,9
20200401,18,玉树县结古镇,23,优,NaN,2,14,0.2,3,73,70,4
20200401,18,玉树县结古镇,23,优,NaN,2,14,0.2,3,73,70,4
20200401,20,玉树县结古镇,37,优,NaN,4,37,0.2,5,70,72,5
20200401,21,玉树县结古镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200401,22,玉树县结古镇,20,优,NaN,7,20,0.3,10,64,71,5
20200401,23,玉树县结古镇,20,优,NaN,4,18,0.3,9,62,70,6
20200402,00,玉树县结古镇,20,优,NaN,3,16,0.3,7,62,68,5
20200402,00,玉树县结古镇,20,优,NaN,3,16,0.3,7,62,68,5
20200402,01,玉树县结古镇,19,优,NaN,5,15,0.3,8,58,58,6
20200402,02,玉树县结古镇,17,优,NaN,4,14,0.3,9,54,56,6
20200402,08,玉树县结古镇,26,优,NaN,10,26,0.5,34,18,41,10
