Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,槟榔水业,55,良,颗粒物(PM10),37,59,0.7,16,43,42,12
20200326,19,市中国银行,55,良,颗粒物(PM10),38,60,0.5,19,40,37,14
20200326,19,市石油公司,22,优,NaN,12,20,0.4,7,68,75,5
20200326,19,市气象局,27,优,NaN,10,27,0.8,14,80,66,5
20200326,19,市广电局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,槟榔水业(对照点),28,优,NaN,16,28,0.7,9,81,65,4
20200326,19,宜春学院北校区（181229启用）,25,优,NaN,17,18,1.6,26,16,14,12
20200326,19,宜春学院北校区,32,优,NaN,13,32,0.8,11,71,59,12
20200326,20,槟榔水业,55,良,颗粒物(PM10),37,59,0.7,16,43,42,12
20200326,20,市中国银行,55,良,颗粒物(PM10),38,60,0.5,19,40,37,14
20200326,20,市石油公司,21,优,NaN,11,21,0.4,11,54,71,7
20200326,20,市气象局,29,优,NaN,10,29,0.9,32,50,68,6
20200326,20,市广电局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,槟榔水业(对照点),26,优,NaN,15,26,0.7,19,52,69,5
20200326,20,宜春学院北校区（181229启用）,25,优,NaN,17,18,1.6,26,16,14,12
20200326,20,宜春学院北校区,24,优,NaN,15,24,0.9,20,51,63,12
20200327,10,槟榔水业,55,良,颗粒物(PM10),37,59,0.7,16,43,42,12
20200327,10,市中国银行,55,良,颗粒物(PM10),38,60,0.5,19,40,37,14
20200327,10,市石油公司,27,优,NaN,16,27,0.6,18,48,41,10
20200327,10,市气象局,24,优,NaN,15,24,1.0,30,49,53,9
20200327,10,市广电局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,槟榔水业(对照点),26,优,NaN,16,26,0.8,19,50,56,5
20200327,10,宜春学院北校区（181229启用）,25,优,NaN,17,18,1.6,26,16,14,12
20200327,10,宜春学院北校区,28,优,NaN,14,28,0.9,21,50,53,11
20200327,11,槟榔水业,55,良,颗粒物(PM10),37,59,0.7,16,43,42,12
20200327,11,市中国银行,55,良,颗粒物(PM10),38,60,0.5,19,40,37,14
20200327,11,市石油公司,25,优,NaN,14,25,0.7,12,41,45,10
20200327,11,市气象局,22,优,NaN,14,22,1.1,22,43,55,7
20200327,11,市广电局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,槟榔水业(对照点),24,优,NaN,13,24,0.9,13,46,57,3
20200327,11,宜春学院北校区（181229启用）,25,优,NaN,17,18,1.6,26,16,14,12
20200327,11,宜春学院北校区,24,优,NaN,13,24,1.0,11,44,54,8
