Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,广雅中学,32,优,NaN,14,32,0.4,35,41,55,7
20200326,18,市五中,34,优,NaN,20,34,0.6,40,36,51,NaN
20200326,18,天河职幼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,广东商学院,27,优,NaN,12,27,0.6,32,47,52,5
20200326,18,市八十六中,25,优,NaN,12,25,0.5,38,40,37,5
20200326,18,番禺中学,29,优,NaN,13,29,0.4,23,57,64,6
20200326,18,花都师范,28,优,NaN,16,28,0.7,34,51,59,4
20200326,18,市监测站,30,优,NaN,13,30,0.7,35,41,56,5
20200326,18,九龙镇镇龙,25,优,NaN,12,25,0.6,30,53,56,6
20200326,18,麓湖,26,优,NaN,13,26,0.6,29,44,52,6
20200326,18,帽峰山森林公园,22,优,NaN,11,22,0.5,30,52,45,7
20200326,18,体育西,31,优,NaN,15,31,0.5,31,42,49,8
20200326,20,广雅中学,30,优,NaN,15,30,0.4,40,26,54,7
20200326,20,市五中,33,优,NaN,19,33,0.6,42,24,50,5
20200326,20,天河职幼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,广东商学院,25,优,NaN,11,25,0.6,40,30,54,6
20200326,20,市八十六中,26,优,NaN,12,26,0.5,46,18,34,5
20200326,20,番禺中学,31,优,NaN,14,31,0.4,24,44,63,6
20200326,20,花都师范,37,优,NaN,19,37,0.7,45,29,56,4
20200326,20,市监测站,31,优,NaN,14,31,0.7,38,29,56,5
20200326,20,九龙镇镇龙,45,优,NaN,17,45,0.7,56,12,52,8
20200326,20,麓湖,26,优,NaN,12,26,0.6,32,34,53,7
20200326,20,帽峰山森林公园,28,优,NaN,13,28,0.6,36,37,47,8
20200326,20,体育西,30,优,NaN,14,30,0.5,35,30,50,8
20200326,21,广雅中学,30,优,NaN,15,30,0.4,38,23,50,6
20200326,21,市五中,34,优,NaN,20,34,0.6,41,22,45,5
20200326,21,天河职幼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,广东商学院,30,优,NaN,12,30,0.6,43,22,50,5
20200326,21,市八十六中,26,优,NaN,12,26,0.5,49,10,32,6
20200326,21,番禺中学,32,优,NaN,14,32,0.4,26,37,59,6
20200326,21,花都师范,30,优,NaN,15,30,0.6,36,34,54,4
20200326,21,市监测站,31,优,NaN,14,31,0.7,34,28,53,5
20200326,21,九龙镇镇龙,39,优,NaN,14,39,0.7,52,8,46,8
20200326,21,麓湖,27,优,NaN,13,27,0.6,30,31,51,6
20200326,21,帽峰山森林公园,29,优,NaN,13,29,0.6,40,22,44,8
20200326,21,体育西,30,优,NaN,14,30,0.5,40,20,47,7
20200327,10,广雅中学,38,优,NaN,21,38,0.5,42,17,15,8
20200327,10,市五中,37,优,NaN,22,37,0.7,44,17,11,6
20200327,10,天河职幼,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,广东商学院,53,良,颗粒物(PM10),29,55,NaN,59,10,4,10
20200327,10,市八十六中,59,良,颗粒物(PM10),34,68,0.9,55,15,6,12
