Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,市站,23,优,NaN,4,7,0.3,9,73,71,1
20200326,20,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,市站,22,优,NaN,9,9,0.3,12,68,71,1
20200326,21,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,市站,25,优,NaN,17,NaN,0.3,18,62,71,3
20200327,09,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,09,市站,24,优,NaN,NaN,14,0.3,3,76,77,3
20200327,11,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,市站,25,优,NaN,5,NaN,0.2,5,78,77,NaN
20200327,12,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,市站,12,优,NaN,8,NaN,0.2,4,NaN,77,3
20200327,13,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市站,84,良,细颗粒物(PM2.5),62,NaN,0.3,6,62,75,2
20200327,13,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,市站,84,良,细颗粒物(PM2.5),62,NaN,0.3,6,62,75,2
20200327,14,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,市站,22,优,NaN,8,13,0.3,6,68,73,2
20200327,15,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市站,21,优,NaN,11,NaN,0.3,6,66,72,3
20200327,15,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市站,21,优,NaN,11,NaN,0.3,6,66,72,3
20200327,16,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,16,市站,20,优,NaN,NaN,4,0.3,6,62,70,3
20200327,17,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市站,20,优,NaN,4,NaN,0.3,7,64,68,3
20200327,17,小东沟,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市站,20,优,NaN,4,NaN,0.3,7,64,68,3
20200330,07,小东沟,23,优,NaN,12,NaN,0.2,2,73,72,5
20200330,07,市站,20,优,NaN,2,8,0.5,2,64,55,3
20200330,08,小东沟,25,优,NaN,17,NaN,0.2,1,74,72,5
20200330,08,市站,20,优,NaN,5,12,0.5,3,62,56,3
20200330,09,小东沟,24,优,NaN,11,11,0.2,1,74,73,5
20200330,09,市站,19,优,NaN,8,NaN,0.5,13,58,57,10
20200330,09,小东沟,24,优,NaN,11,11,0.2,1,74,73,5
20200330,09,市站,19,优,NaN,8,NaN,0.5,13,58,57,10
20200330,09,小东沟,24,优,NaN,11,11,0.2,1,74,73,5
20200330,09,市站,19,优,NaN,8,NaN,0.5,13,58,57,10
20200330,10,小东沟,23,优,NaN,9,NaN,0.2,2,73,73,5
20200330,10,市站,17,优,NaN,1,17,0.6,27,39,56,24
20200330,10,小东沟,23,优,NaN,9,NaN,0.2,2,73,73,5
20200330,10,市站,17,优,NaN,1,17,0.6,27,39,56,24
20200330,11,小东沟,23,优,NaN,10,12,0.1,1,71,73,5
20200330,11,市站,24,优,NaN,13,24,0.5,20,39,54,23
20200330,12,小东沟,21,优,NaN,7,20,0.1,5,65,72,NaN
20200330,12,市站,15,优,NaN,4,15,0.5,19,45,53,12
20200330,13,小东沟,23,优,NaN,15,23,0.1,NaN,64,71,NaN
20200330,13,市站,24,优,NaN,16,24,0.5,12,53,52,4
20200330,14,小东沟,28,优,NaN,19,25,0.1,NaN,66,70,12
20200330,14,市站,19,优,NaN,3,14,0.5,9,60,52,3
20200330,15,小东沟,19,优,NaN,13,14,0.1,4,NaN,70,9
20200330,15,市站,20,优,NaN,6,19,0.5,8,61,52,2
20200330,16,小东沟,22,优,NaN,14,22,0.1,5,NaN,69,10
20200330,16,市站,21,优,NaN,4,6,0.5,7,65,52,1
20200330,17,小东沟,24,优,NaN,5,12,0.2,2,75,69,6
20200330,17,市站,20,优,NaN,3,16,0.5,7,64,53,3
20200330,18,小东沟,25,优,NaN,9,NaN,0.2,1,79,70,5
20200330,18,市站,22,优,NaN,4,6,0.5,4,69,57,2
20200330,19,小东沟,24,优,NaN,13,NaN,0.2,1,75,71,4
20200330,19,市站,22,优,NaN,1,15,0.4,4,70,61,1
20200330,20,小东沟,24,优,NaN,15,NaN,0.2,1,76,72,4
20200330,20,市站,22,优,NaN,10,11,0.5,4,68,64,3
20200330,21,小东沟,26,优,NaN,12,NaN,0.2,1,82,76,4
20200330,21,市站,19,优,NaN,2,7,0.5,8,58,64,3
20200330,22,小东沟,26,优,NaN,12,16,0.2,1,82,78,4
20200330,22,市站,22,优,NaN,1,9,0.4,5,69,66,3
20200330,23,小东沟,25,优,NaN,11,NaN,0.2,2,79,78,4
20200330,23,市站,20,优,NaN,9,NaN,0.5,8,64,66,7
20200331,00,小东沟,25,优,NaN,11,11,0.2,1,80,78,4
20200331,00,市站,20,优,NaN,NaN,1,0.5,7,62,66,2
20200331,01,小东沟,25,优,NaN,13,NaN,0.3,2,80,80,4
20200331,01,市站,22,优,NaN,5,NaN,0.5,4,70,70,3
20200331,02,小东沟,26,优,NaN,13,17,0.2,2,81,80,4
20200331,02,市站,23,优,NaN,NaN,9,0.5,2,71,70,3
20200331,03,小东沟,26,优,NaN,18,NaN,0.2,1,83,81,4
20200331,03,市站,23,优,NaN,10,NaN,0.5,2,72,71,3
20200331,04,小东沟,26,优,NaN,18,NaN,0.2,2,83,82,4
20200331,04,市站,23,优,NaN,3,3,0.5,2,73,72,3
20200331,05,小东沟,27,优,NaN,10,NaN,0.3,2,84,82,3
20200331,05,市站,24,优,NaN,11,NaN,0.5,1,75,72,3
20200331,06,小东沟,27,优,NaN,11,NaN,0.3,1,84,82,4
20200331,06,市站,24,优,NaN,NaN,4,0.5,2,76,73,3
20200331,07,小东沟,27,优,NaN,12,NaN,0.3,2,84,83,4
20200331,07,市站,24,优,NaN,4,7,0.5,2,76,73,3
20200331,08,小东沟,27,优,NaN,11,NaN,0.3,2,84,83,3
20200331,08,市站,25,优,NaN,NaN,2,0.5,2,77,74,3
20200331,09,小东沟,27,优,NaN,12,NaN,0.3,1,84,83,4
20200331,09,市站,24,优,NaN,3,NaN,0.5,4,76,74,3
20200331,10,小东沟,27,优,NaN,16,NaN,0.3,2,84,84,4
20200331,10,市站,24,优,NaN,3,12,0.4,6,75,75,3
20200331,11,小东沟,27,优,NaN,14,NaN,0.2,2,84,84,4
20200331,11,市站,24,优,NaN,3,10,0.4,6,74,75,3
20200331,12,小东沟,27,优,NaN,5,14,0.2,2,84,84,4
20200331,12,市站,24,优,NaN,5,NaN,0.4,6,74,75,3
20200331,13,小东沟,25,优,NaN,8,NaN,0.2,13,78,83,4
20200331,13,市站,22,优,NaN,NaN,10,0.5,9,69,75,14
20200331,14,小东沟,25,优,NaN,15,NaN,0.2,7,78,82,4
20200331,14,市站,23,优,NaN,14,NaN,0.5,6,71,74,3
20200331,15,小东沟,25,优,NaN,8,23,0.1,1,79,82,4
20200331,15,市站,23,优,NaN,4,8,0.5,5,71,73,3
20200331,16,小东沟,25,优,NaN,5,NaN,0.1,6,78,81,5
20200331,16,市站,22,优,NaN,5,NaN,0.5,6,70,72,3
20200331,17,小东沟,24,优,NaN,4,11,0.1,11,76,80,5
20200331,17,市站,22,优,NaN,3,7,0.5,8,69,72,1
20200331,18,小东沟,25,优,NaN,8,10,0.1,2,79,80,5
20200331,18,市站,23,优,NaN,10,10,0.5,7,72,71,1
20200331,19,小东沟,25,优,NaN,9,NaN,0.2,5,79,79,6
20200331,19,市站,22,优,NaN,1,7,0.5,12,68,70,2
20200331,20,小东沟,25,优,NaN,5,NaN,0.2,3,78,78,5
20200331,20,市站,19,优,NaN,12,NaN,0.5,20,59,69,2
20200331,21,小东沟,23,优,NaN,8,18,0.2,3,73,78,4
20200331,21,市站,16,优,NaN,NaN,3,0.6,31,50,66,3
20200331,22,小东沟,29,优,NaN,20,NaN,0.2,2,80,78,5
20200331,22,市站,17,优,NaN,6,15,0.6,15,54,64,1
20200331,23,小东沟,26,优,NaN,13,NaN,0.2,2,83,78,5
20200331,23,市站,18,优,NaN,10,18,0.7,10,52,62,1
20200401,00,小东沟,27,优,NaN,9,NaN,0.2,2,85,79,5
20200401,00,市站,23,优,NaN,9,23,0.6,6,60,60,3
20200401,01,小东沟,27,优,NaN,9,NaN,0.2,2,86,86,4
20200401,01,市站,24,优,NaN,2,9,0.5,3,75,75,3
20200401,02,小东沟,30,优,NaN,21,NaN,0.2,1,86,86,5
